organism,slot,axis,context,unit,grade,genes,coverage,positive,filled_by,detail,policy,candidates,candidate_titles,blocked_by,searched,would_fill_it
Tg,Tg_transcription · purified bradyzoite in vivo,transcription,"mouse brain, purified bradyzoite",gene,A,7663,94.1%,,invivo_BZ_,6 columns,average,"PMID 41278634 (single-cell brain-derived bradyzoites, 2025)",41278634: Single-cell analysis of brain-derived Toxoplasma bradyzoites reveals a novel cell cycle regulated by AP2XI-6.,,,
Tg,Tg_transcription · primary brain-cell differentiation time course,transcription,"infected primary brain cells, day 1-14",gene,A,7438,91.4%,,brain168465_,10 columns,separate,,,,,
Tg,Tg_transcription · under stress / conversion,transcription,"alkaline, stress",gene,A,7880,96.8%,,"stress_, rna245775_parent_prebrady_",13 columns,separate,PMID 38782906 GSE245775 (RNA matched to pre-bradyzoite ribosome profiling),38782906: Translation initiation factor eIF1.2 promotes Toxoplasma stage conversion by regulating levels of key differentiation factors.,,,
Tg,Tg_transcription · extracellular lytic stress,transcription,extracellular tachyzoite,gene,A,7506,92.2%,,rna99395_extracellular_,2 columns,separate,PMID 29228904 GSE99395 (matched RNA for extracellular ribosome profiling),29228904: Comparative ribosome profiling uncovers a dominant role for translational control in Toxoplasma gondii.,,,
Tg,Tg_transcription · under TF or chromatin perturbation,transcription,perturbation,gene,A,7841,96.3%,,morc_,18 columns,separate,PMID 39774584 PRJNA1134678 (ApiAP2 cascade); PMID 40920096 PRJNA1281009 (AP2X-7); PMID 41193469 GSE287537 (SWI/SNF); PMID 40879678 GSE286088 (GCN5a); PMID 40593611 GSE268652 (SNF2L),39774584: Cascading expression of ApiAP2 transcription factors controls daughter cell assembly in Toxoplasma gondii. | 40920096: TgAP2X-7 is a novel cell cycle-regulated transcription factor that plays an essential role in Toxoplasma tachyzoite propagation. | 41193469: Toxoplasma gondii chromatin remodeler SWI/SNF controls parasite division and gene expression. | 40879678: GCN5a is a telomeric lysine acetyltransferase whose loss primes Toxoplasma gondii for latency. | 40593611: Regulation of the developmental programs in Toxoplasma by a novel SNF2L-containing chromatin remodeling complex.,,,
Tg,Tg_transcription · under RNA-processing perturbation,transcription,"CPSF4 depletion, tachyzoite",gene,A,7869,96.7%,,cpsf4rna168155_,8 columns,separate,PMID 34263725 GSE168155 (CPSF4/m6A-reader depletion RNA-seq),34263725: A plant-like mechanism coupling m6A reading to polyadenylation safeguards transcriptome integrity and developmental gene partitioning in Toxoplasma.,,,
Tg,Tg_transcription · bradyzoite checkpoint perturbation,transcription,tachyzoite and bradyzoite cyclin perturbation,gene,A,7880,96.8%,,restriction200962_,16 columns,separate,"GSE200962 (processed count matrix, GEO has no linked publication)",processed count matrix; GEO has no linked publication,,,
Tg,Tg_transcription · maximum observed across stages,transcription,cross-stage summary,gene,A,8131,99.9%,,expr_max,1 columns,one,,,,,
Tg,Tg_cell-cycle timing label,transcription,single-parasite atlas,gene,A,7499,92.1%,,cellcycle_pseudotime,1 columns,one,,,,,
Tg,Tg_life-cycle stage label (derived),transcription,cross-stage derived target,gene,B,1911,23.5%,,stage_margin_derived,1 columns,one,,,,,
Tg,Tg_translation · tachyzoite,translation,"tachyzoite, in vitro",gene,A,7880,96.8%,,"rpf99395_intracellular_, rpf129869_, rpf245775_parent_tachy_",11 columns,separate,PMID 29228904 GSE99395 (comparative ribosome profiling); PMID 31167946 GSE129869 (infected confluent/subconfluent HFFs); PMID 38782906 GSE245775 (eIF1.2 and stage conversion),29228904: Comparative ribosome profiling uncovers a dominant role for translational control in Toxoplasma gondii. | 31167946: Simultaneous Ribosome Profiling of Human Host Cells Infected with Toxoplasma gondii. | 38782906: Translation initiation factor eIF1.2 promotes Toxoplasma stage conversion by regulating levels of key differentiation factors.,,,
Tg,Tg_translation · bradyzoite,translation,"pre-bradyzoite, alkaline-induced",gene,A,7880,96.8%,,rpf245775_parent_prebrady_,3 columns,one,"PMID 38782906 GSE245775 (eIF1.2 and stage conversion); PMID 38747593 GSE243206 (from the GEO index, verify assay and parasite-gene shape)",38782906: Translation initiation factor eIF1.2 promotes Toxoplasma stage conversion by regulating levels of key differentiation factors. | 38747593: Depletion of mRNA cap-binding protein eIF4E1 drives bradyzoite formation in Toxoplasma gondii [RIBO-seq],,,
Tg,Tg_translation · per cell-cycle phase,translation,cell cycle,gene,-,0,,,,,one,,,missing,"All nine Toxoplasma ribosome-profiling series in GEO, opened one at a time: intracellular vs extracellular, eIF4E1 depletion, 5'UTR MPRA, stage conversion. None is cell-cycle resolved. Re-checked from the other direction by intersecting two catalogues rather than searching one: all 184 GEO series tagged Toxoplasma gondii, and every BioProject matching ribosome/polysome/translatome (7) against every BioProject matching synchronised/cell-cycle/sorted (29). The intersection is empty -- no submission is both -- which closes the slot on set membership instead of on a phrase.","Ribosome profiling of synchronised or FUCCI-sorted tachyzoites, by cell-cycle phase."
Tg,Tg_translation · under stress,translation,extracellular stress or iron,gene,A,7506,92.2%,,rpf99395_extracellular_,2 columns,separate,"PMID 29228904 GSE99395 (extracellular versus intracellular parasites); PMID 41925342 (translational remodelling under iron starvation, 2026)",29228904: Comparative ribosome profiling uncovers a dominant role for translational control in Toxoplasma gondii. | 41925342: Global translational and metabolic remodeling during iron deprivation in Toxoplasma gondii.,,,
Tg,Tg_translation efficiency · tachyzoite,translation,"tachyzoite, in vitro",gene,A,7880,96.8%,,"te99395_intracellular_, te129869_, te245775_parent_tachy_",11 columns,separate,PMID 29228904 GSE99395 (RPF relative to matched RNA); PMID 31167946 GSE129869 (RPF relative to matched RNA),29228904: Comparative ribosome profiling uncovers a dominant role for translational control in Toxoplasma gondii. | 31167946: Simultaneous Ribosome Profiling of Human Host Cells Infected with Toxoplasma gondii.,,,
Tg,Tg_translation efficiency · extracellular stress,translation,extracellular stress,gene,A,7506,92.2%,,te99395_extracellular_,2 columns,separate,PMID 29228904 GSE99395 (RPF relative to matched RNA),29228904: Comparative ribosome profiling uncovers a dominant role for translational control in Toxoplasma gondii.,,,
Tg,Tg_translation efficiency · bradyzoite,translation,"pre-bradyzoite, alkaline-induced",gene,A,7880,96.8%,,te245775_parent_prebrady_,3 columns,separate,PMID 38782906 GSE245775 (RPF relative to matched RNA under conversion),38782906: Translation initiation factor eIF1.2 promotes Toxoplasma stage conversion by regulating levels of key differentiation factors.,,,
Tg,Tg_translation · under initiation-factor depletion,translation,"eIF1.2 knockout, tachyzoite and pre-bradyzoite",gene,A,7880,96.8%,,"rpf245775_eif12ko_, te245775_eif12ko_",12 columns,separate,PMID 38782906 GSE245775 (delta-eIF1.2 ribosome profiling),38782906: Translation initiation factor eIF1.2 promotes Toxoplasma stage conversion by regulating levels of key differentiation factors.,,,
Tg,Tg_transcription · under initiation-factor depletion,transcription,"eIF1.2 knockout, tachyzoite and pre-bradyzoite",gene,A,7880,96.8%,,rna245775_eif12ko_,6 columns,separate,PMID 38782906 GSE245775 (RNA matched to delta-eIF1.2 ribosome profiling),38782906: Translation initiation factor eIF1.2 promotes Toxoplasma stage conversion by regulating levels of key differentiation factors.,,,
Tg,Tg_protein abundance · tachyzoite,protein abundance,tachyzoite,gene,B,3107,38.2%,,"proteome_, protein_ibaq_log2",16 columns,fill,PMID 40716488 PXD063409 (cytoskeleton proteome); PMID 25867681 PXD000297 (proteogenomics),40716488: Quantitative proteomic analysis of the Toxoplasma gondii cytoskeleton and bioinformatic identification of highly antigenic proteins. | 25867681: A large-scale proteogenomics study of apicomplexan pathogens-Toxoplasma gondii and Neospora caninum.,,,
Tg,Tg_protein abundance · other life stages,protein abundance,stages,gene,B,2079,25.5%,,oocyst_,8 columns,separate,PMID 28626452 PXD003765 (iTRAQ across developmental stages),28626452: Proteomic Differences between Developmental Stages of Toxoplasma gondii Revealed by iTRAQ-Based Quantitative Proteomics.,,,
Tg,Tg_thermal stability (melting temperature),protein abundance,tachyzoite,gene,B,3120,38.3%,,melting_temperature_tm,1 columns,one,PMID 35976251 eLife 80336 (mineCETSA curve fits),35976251: Temporal and thermal profiling of the Toxoplasma proteome implicates parasite Protein Phosphatase 1 in the regulation of Ca2+-responsive pathways.,,,
Tg,Tg_protein turnover,protein abundance,tachyzoite,gene,-,0,,,,,one,,,missing,"All 233 Toxoplasma deposits in ProteomeXchange, across every repository it aggregates -- 192 PRIDE, 29 iProX, 6 MassIVE, 5 jPOST, 1 PeptideAtlas -- enumerated and scanned. The earlier 201-deposit sweep was catalogue-complete for PRIDE only, which is not the same as complete for proteomics; widening it added 41 deposits and no turnover measurement. The one hit on turnover vocabulary is PXD019917, thermal stability under a drug (CETSA), not degradation. Also the eLife 80336 'temporal and thermal' study, whose seven supplements are all CETSA or phospho and contain no half-lives, and BONCAT-iTRAQ, which measures synthesis rather than degradation and does it under a drug. Then the literature rather than the archives: all 467 open-access Toxoplasma papers mentioning cycloheximide, half-life, protein stability or turnover, full text fetched and grepped for a half-life attached to a gene. Seven statements matched and ALL SEVEN are ExPASy ProtParam predictions -- six say exactly '30 h' and one '>20 h (yeast)', because ProtParam returns a constant keyed on the N-terminal residue -- in in-silico vaccine-design papers. Ingesting them would have made this slot read as filled by a column that is one amino acid in disguise. They are refused.",Pulse-SILAC or a cycloheximide chase with proteome-wide degradation rates.
Tg,Tg_phosphorylation · site count,PTM,tachyzoite,gene,A,8140,100.0%,1175,"n_phosphosites, has_phospho",2 columns,one,,,,,
Tg,Tg_phosphorylation · quantitative,PTM,tachyzoite,gene,C,1603,19.7%,,phospho_,5 columns,average,PMID 33363051 PXD020655 (iTRAQ phosphoproteome); PMID 31508380 PXD007777 (type I vs type II); PMID 40901993 PXD064226 (PP2A-2 during cytokinesis),33363051: iTRAQ-Based Phosphoproteomic Analysis of Toxoplasma gondii Tachyzoites Provides Insight Into the Role of Phosphorylation for its Invasion and Egress. | 31508380: iTRAQ-Based Global Phosphoproteomics Reveals Novel Molecular Differences Between Toxoplasma gondii Strains of Different Genotypes. | 40901993: The PP2A-2 holoenzyme orchestrates daughter cell emergence during cytokinesis in Toxoplasma gondii.,,,
Tg,Tg_phosphorylation · kinase-substrate,PTM,perturbation,gene,C,367,4.5%,,cdpk1_thiophospho_peptides,1 columns,separate,"PMID 37933960 PXD019677 (CDPK1 substrates); PMID 33635921 PXD019655 (CDPK7); PXD017032 (from the PRIDE index, verify the modification and the organism); PXD006045 (from the PRIDE index, verify the modification and the organism)",37933960: Analysis of CDPK1 targets identifies a trafficking adaptor complex that regulates microneme exocytosis in Toxoplasma. | 33635921: Protein kinase TgCDPK7 regulates vesicular trafficking and phospholipid synthesis in Toxoplasma gondii. | from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism,,,
Tg,Tg_acetylation,PTM,life stages,gene,B,3921,48.2%,,n_acetylation_sites,1 columns,one,"PMID 37562054 PXD040368 (lysine acetylation across stages); PXD079431 (from the PRIDE index, verify the modification and the organism); PXD079432 (from the PRIDE index, verify the modification and the organism); GSE313048 (from the GEO index, verify assay and parasite-gene shape); PMID 37562054 PXD040368 (automatically proposed, verify assay and parasite-gene shape); PMID 38647704 PXD045061 (automatically proposed, verify assay and parasite-gene shape)",37562054: Label-free quantitative detection and comparative analysis of lysine acetylation during the different life stages of Eimeria tenella. | from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism | from the GEO index; verify assay and parasite-gene shape | 37562054: Label-free quantitative detection and comparative analysis of lysine acetylation during the different life stages of Eimeria tenella. | 38647704: Global profiling of protein S-palmitoylation in the second-generation merozoites of Eimeria tenella.,,,
Tg,Tg_N-myristoylation,PTM,tachyzoite,gene,C,65,0.8%,,myristoylation_confidence,1 columns,one,PMID 32618271 eLife 57861 (myristoylated proteome of Toxoplasma gondii),32618271: Profiling of myristoylation in Toxoplasma gondii reveals an N-myristoylated protein important for host cell penetration.,,,
Tg,Tg_arginine methylation,PTM,tachyzoite,gene,C,368,4.5%,,n_arginine_methylation_sites,1 columns,one,ToxoDB Yakubu monomethylarginine proteomics (monomethylarginine sites per gene),monomethylarginine sites per gene,,,
Tg,Tg_lactylation,PTM,tachyzoite,gene,C,515,6.3%,,n_lactylation_sites,1 columns,one,"PMID 36216028 PXD022700 (protein lactylation); PXD031526 (systematic identification of lysine lactylation); PXD031526 (from the PRIDE index, verify the modification and the organism); PXD022700 (from the PRIDE index, verify the modification and the organism); GSE313048 (from the GEO index, verify assay and parasite-gene shape)",36216028: Protein Lactylation and Metabolic Regulation of the Zoonotic Parasite Toxoplasma gondii. | systematic identification of lysine lactylation | from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism | from the GEO index; verify assay and parasite-gene shape,,,
Tg,Tg_S-nitrosylation,PTM,tachyzoite,gene,C,660,8.1%,,n_nitrosylation_sites,1 columns,one,"PMID 37959749 PXD046083 (proteome-wide cysteine S-nitrosylation); PXD046083 (from the PRIDE index, verify the modification and the organism); GSE313048 (from the GEO index, verify assay and parasite-gene shape)",37959749: Global Proteome-Wide Analysis of Cysteine S-Nitrosylation in Toxoplasma gondii. | from the PRIDE index; verify the modification and the organism | from the GEO index; verify assay and parasite-gene shape,,,
Tg,Tg_ubiquitination / SUMOylation,PTM,tachyzoite,gene,C,130,1.6%,,n_ubiquitination_sites,1 columns,one,"PMID 40348811 PXD045018 (TgUAE1); PMID 40590555 PXD054719 (endodyogeny); PXD042937 (from the PRIDE index, verify the modification and the organism); GSE313048 (from the GEO index, verify assay and parasite-gene shape)",40348811: Ubiquitin-activating enzyme1 (TgUAE1) acts as a key regulator of Toxoplasma gondii lytic cycle and homeostasis. | 40590555: Deciphering cell cycle organization of Toxoplasma endodyogeny. | from the PRIDE index; verify the modification and the organism | from the GEO index; verify assay and parasite-gene shape,,,
Tg,Tg_glycosylation,PTM,tachyzoite,gene,C,394,4.8%,,n_o_fucosyl_peptides,1 columns,one,"PMID 39912628 PXD056853 (nucleocytoplasmic O-fucose); GSE313048 (from the GEO index, verify assay and parasite-gene shape)","39912628: Novel antibodies detect nucleocytoplasmic O-fucose in protist pathogens, cellular slime molds, and plants. | from the GEO index; verify assay and parasite-gene shape",,,
Tg,Tg_palmitoylation,PTM,tachyzoite,gene,C,488,6.0%,,palmitome_,2 columns,separate,"PMID 26468752 ToxoDB Foe palmitome (17-ODYA click chemistry, against hydroxylamine and against palmitate); GSE313048 (from the GEO index, verify assay and parasite-gene shape)",26468752: Global Analysis of Palmitoylated Proteins in Toxoplasma gondii. | from the GEO index; verify assay and parasite-gene shape,,,
Tg,Tg_fitness · HFF in vitro,fitness,HFF,gene,A,7325,90.0%,,fit_invitro_hff,1 columns,one,,,,,
Tg,Tg_fitness · naive macrophage,fitness,naive BMDM,gene,A,7402,90.9%,,fit_naive_bmdm,1 columns,one,,,,,
Tg,Tg_fitness · IFN-gamma macrophage,fitness,IFN-g BMDM,gene,A,7402,90.9%,,fit_ifng,1 columns,one,PMID 36916910 (a second IFN-gamma screen),36916910: CRISPR Screens Identify Toxoplasma Genes That Determine Parasite Fitness in Interferon Gamma-Stimulated Human Cells.,,,
Tg,Tg_fitness · in vivo peritoneum,fitness,mouse peritoneum,gene,A,7395,90.8%,,fit_invivo_PE,1 columns,one,,,,,
Tg,Tg_fitness · in vivo lung,fitness,mouse lung,gene,A,7395,90.8%,,fit_invivo_lung,1 columns,one,,,,,
Tg,Tg_fitness · in vivo liver,fitness,mouse liver,gene,A,7395,90.8%,,fit_invivo_liver,1 columns,one,,,,,
Tg,Tg_fitness · in vivo spleen,fitness,mouse spleen,gene,A,7395,90.8%,,fit_invivo_spleen,1 columns,one,,,,,
Tg,Tg_fitness · oxidative stress,fitness,oxidant,gene,A,7384,90.7%,,oxidative_stress_screen_score,1 columns,one,PMID 34163449 PRJNA707360 (genome-wide oxidative-stress screen),34163449: Genome-Wide CRISPR/Cas9 Screen Identifies New Genes Critical for Defense Against Oxidant Stress in Toxoplasma gondii.,,,
Tg,Tg_fitness · hyperLOPIT-unassigned proteins,fitness,in vivo virulence,gene,C,551,6.8%,,fit_hyperlopit_unassigned_invivo_,2 columns,separate,PMID 39082802 GSE253884 (aimed at this map's largest gap),39082802: CRISPR screens identify genes essential for in vivo virulence among proteins of hyperLOPIT-unassigned subcellular localization in Toxoplasma.,,,
Tg,Tg_fitness · targeted in vivo (Young 2019),fitness,"mouse, targeted libraries",gene,C,170,2.1%,,"fit_invivo_young2019, crispr_invivo_platform_lfc",2 columns,separate,,,,,
Tg,Tg_genetic interaction · delta-GRA17,fitness,GRA17 background,gene,A,7553,92.8%,,crispr_gra17,3 columns,one,,,,,
Tg,Tg_fitness · GRA12 screen 1 in vitro,fitness,"GRA12 screen 1, in vitro",gene,C,236,2.9%,,crispr_gra12s1_l2fc_invitro,1 columns,one,,,,,
Tg,Tg_fitness · GRA12 screen 1 in vivo,fitness,"GRA12 screen 1, mouse",gene,C,236,2.9%,,crispr_gra12s1_l2fc_invivo,1 columns,one,,,,,
Tg,Tg_fitness · GRA12 screen 1 differential,fitness,"GRA12 screen 1, in vivo vs in vitro",gene,C,236,2.9%,,crispr_gra12s1_disco,1 columns,one,,,,,
Tg,Tg_fitness · GRA12 screen 2 in vitro,fitness,"GRA12 screen 2, in vitro",gene,C,232,2.9%,,crispr_gra12s2_l2fc_invitro,1 columns,one,,,,,
Tg,Tg_fitness · GRA12 screen 2 in vivo,fitness,"GRA12 screen 2, mouse",gene,C,232,2.9%,,crispr_gra12s2_l2fc_invivo,1 columns,one,,,,,
Tg,Tg_fitness · GRA12 screen 2 differential,fitness,"GRA12 screen 2, in vivo vs in vitro",gene,C,232,2.9%,,crispr_gra12s2_disco,1 columns,one,,,,,
Tg,Tg_stage-conversion phenotype,fitness,bradyzoite conversion,gene,C,237,2.9%,,diff_reporter_log2_mNG_over_bulk,1 columns,one,"PMID 38782906 GSE245775 (from the GEO index, verify assay and parasite-gene shape); PMID 31955846 GSE132237 (from the GEO index, verify assay and parasite-gene shape)",38782906: Translation initiation factor eIF1.2 promotes Toxoplasma stage conversion by regulating levels of key differentiation factors. | 31955846: CRISPR-Cas9 screens to identify regulators of differentiation in Toxoplasma gondii,,,
Tg,Tg_drug sensitivity,fitness,compound,gene,C,3,0.0%,,"drug_compounds_tested, drug_sensitivity_shifts, drug_sensitivity_directions",3 columns,separate,PMID 41025776 mBio (equilibrative nucleoside transporters against Ara-A and 5-FU),41025776: Impact of equilibrative nucleoside transporters on Toxoplasma gondii infection and differentiation.,,,
Tg,Tg_TF binding · per factor,regulation,ChIP / CUT&RUN,gene,A,8140,100.0%,,cuttag_,1 columns,separate,"PMID 29788176 GSE106864 (ApiAP2 cooperative binding); PMID 37350586 GSE228853 (BDP1 bromodomain); GSE313582 (from the GEO index, verify assay and parasite-gene shape); GSE313273 (from the GEO index, verify assay and parasite-gene shape); GSE293279 (from the GEO index, verify assay and parasite-gene shape); GSE277553 (from the GEO index, verify assay and parasite-gene shape); PMID 40217127 GSE271900 (from the GEO index, verify assay and parasite-gene shape); GSE124251 (from the GEO index, verify assay and parasite-gene shape); PMID 38093015 GSE222835 (from the GEO index, verify assay and parasite-gene shape); PMID 38093015 GSE222819 (from the GEO index, verify assay and parasite-gene shape)","29788176: Cooperative binding of ApiAP2 transcription factors is crucial for the expression of virulence genes in Toxoplasma gondii. | 37350586: An apicomplexan bromodomain protein, TgBDP1, associates with diverse epigenetic factors to regulate essential transcriptional processes in Toxoplasma gondii. | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 40217127: An ISWI-related chromatin remodeler orchestrates parasite lifecycle progression by insulating gene expression in a densely packed genome [RNA-seq] | from the GEO index; verify assay and parasite-gene shape | 38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages. | 38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages.",,,
Tg,Tg_chromatin state · histone marks,regulation,tachyzoite / bradyzoite,gene,A,7515,92.3%,,h4_acetylation_chip_score,1 columns,fill,"PMID 35164683 GSE104347 (histone variants genome-wide); PMID 21179246 GSE22100 (GCN5-A under alkaline stress); GSE313582 (from the GEO index, verify assay and parasite-gene shape); GSE313273 (from the GEO index, verify assay and parasite-gene shape); GSE313048 (from the GEO index, verify assay and parasite-gene shape); PMID 41193469 GSE287537 (from the GEO index, verify assay and parasite-gene shape); GSE277553 (from the GEO index, verify assay and parasite-gene shape); PMID 40830525 GSE294543 (from the GEO index, verify assay and parasite-gene shape); PMID 40823841 GSE249123 (from the GEO index, verify assay and parasite-gene shape); PMID 40217127 GSE271902 (from the GEO index, verify assay and parasite-gene shape)",35164683: Genome-wide localization of histone variants in Toxoplasma gondii implicates variant exchange in stage-specific gene expression. | 21179246: Toxoplasma gondii lysine acetyltransferase GCN5-A functions in the cellular response to alkaline stress and expression of cyst genes. | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 41193469: Toxoplasma gondii chromatin remodeler SWI/SNF controls parasite division and gene expression. | from the GEO index; verify assay and parasite-gene shape | 40830525: Cross-lineage 5-methylcytosine methylome profiling reveals methylated divergence among Toxoplasma gondii tachyzoites of the three major clonal lineages. | 40823841: AP2X-1 is a negative regulator of Toxoplasma gondii sexual commitment | 40217127: An ISWI-related chromatin remodeler orchestrates parasite lifecycle progression by insulating gene expression in a densely packed genome [RNA-seq],,,
