organism,slot,axis,context,unit,grade,genes,coverage,positive,filled_by,detail,policy,candidates,candidate_titles,blocked_by,searched,would_fill_it
Pf,Pf_transcription · maximum observed across stages,transcription,cross-stage summary,gene,A,5720,100.0%,,expr_max,1 columns,one,"GSE270631 (from the GEO index, verify assay and parasite-gene shape); PMID 36223427 GSE208155 (from the GEO index, verify assay and parasite-gene shape); PMID 29590075 GSE94901 (from the GEO index, verify assay and parasite-gene shape); PMID 23320541 GSE39702 (from the GEO index, verify assay and parasite-gene shape); PMID 19730695 GSE17029 (from the GEO index, verify assay and parasite-gene shape); PMID 18483551 GSE9497 (from the GEO index, verify assay and parasite-gene shape)","from the GEO index; verify assay and parasite-gene shape | 36223427: Identification of antimalarial compounds that inhibit Apicomplexan AP2 transcription factor proteins in the human malaria parasite Plasmodium falciparum [ChIP-seq] | 29590075: GDV1 triggers sexual conversion and differentiation in malaria parasites by antagonizing HP1-dependent gene silencing | 23320541: Histone variant, H2B.Z demarcates the AT-rich promoter regions of the Plasmodium falciparum genome | 19730695: Plasmodium falciparum Heterochromatin Protein 1 Marks Genomic Loci Linked to Phenotypic Variation of Exported Virulence Factors | 18483551: Acute Lung Injury In Experimental Malaria",,,
Pf,Pf_cell-cycle timing label,transcription,single-parasite atlas,gene,A,4881,85.3%,,"idc_peak_hour, idc_cycling_amplitude",2 columns,one,"PMID 40624152 GSE271911 (from the GEO index, verify assay and parasite-gene shape); PMID 40410577 GSE274138 (from the GEO index, verify assay and parasite-gene shape); PMID 35443155 GSE197459 (from the GEO index, verify assay and parasite-gene shape); PMID 35443155 GSE197458 (from the GEO index, verify assay and parasite-gene shape); PMID 35443155 GSE197409 (from the GEO index, verify assay and parasite-gene shape); PMID 30096287 GSE116341 (from the GEO index, verify assay and parasite-gene shape)",40624152: Novel single-cell preservation and RNA sequencing technology unlocks field studies for Plasmodium natural infections | 40410577: Feeding with a ketonic diet confers complete protection against malaria | 35443155: A single-cell liver atlas of relapsing human malaria | 35443155: A single-cell liver atlas of relapsing human malaria | 35443155: A single-cell liver atlas of relapsing human malaria | 30096287: Exploring parasite heterogeneity using single-cell RNA-seq reveals a gene signature among sexual stage Plasmodium falciparum (P.falciparum) parasites,,,
Pf,Pf_life-cycle stage label (derived),transcription,cross-stage derived target,gene,C,310,5.4%,,stage_margin_derived,1 columns,one,"GSE316842 (from the GEO index, verify assay and parasite-gene shape); GSE288219 (from the GEO index, verify assay and parasite-gene shape); GSE304394 (from the GEO index, verify assay and parasite-gene shape); PMID 40410577 GSE274138 (from the GEO index, verify assay and parasite-gene shape); GSE278246 (from the GEO index, verify assay and parasite-gene shape); PMID 35443155 GSE197459 (from the GEO index, verify assay and parasite-gene shape); PMID 35443155 GSE197458 (from the GEO index, verify assay and parasite-gene shape); PMID 35443155 GSE197409 (from the GEO index, verify assay and parasite-gene shape)",from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 40410577: Feeding with a ketonic diet confers complete protection against malaria | from the GEO index; verify assay and parasite-gene shape | 35443155: A single-cell liver atlas of relapsing human malaria | 35443155: A single-cell liver atlas of relapsing human malaria | 35443155: A single-cell liver atlas of relapsing human malaria,,,
Pf,Pf_translation · asexual blood stage,translation,asexual blood stage,gene,A,5720,100.0%,,polysomal_,3 columns,separate,"PMID 41099697 GSE286083 (from the GEO index, verify assay and parasite-gene shape); GSE226628 (from the GEO index, verify assay and parasite-gene shape); GSE226632 (from the GEO index, verify assay and parasite-gene shape); PMID 25493618 GSE58402 (from the GEO index, verify assay and parasite-gene shape); PMID 36380373 GSE1124, GSE117613, GSE34404, GSE35858 (automatically proposed, verify assay and parasite-gene shape)",41099697: The organization principles of P. falciparum translation initiation features and their potential as drug targets. | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 25493618: Ribosome Profiling in P. falciparum asexual blood stages | 36380373: Multicohort transcriptome analysis of whole blood identifies robust human response signatures in Plasmodium falciparum infections.,,,
Pf,Pf_translation · per cell-cycle phase,translation,cell cycle,gene,B,3501,61.2%,,riboseq_rpf_,5 columns,one,"PMID 41099697 GSE286083 (from the GEO index, verify assay and parasite-gene shape); GSE226628 (from the GEO index, verify assay and parasite-gene shape); GSE226632 (from the GEO index, verify assay and parasite-gene shape); PMID 25493618 GSE58402 (from the GEO index, verify assay and parasite-gene shape); PMID 36380373 GSE1124, GSE117613, GSE34404, GSE35858 (automatically proposed, verify assay and parasite-gene shape)",41099697: The organization principles of P. falciparum translation initiation features and their potential as drug targets. | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 25493618: Ribosome Profiling in P. falciparum asexual blood stages | 36380373: Multicohort transcriptome analysis of whole blood identifies robust human response signatures in Plasmodium falciparum infections.,,,
Pf,Pf_translation · under stress,translation,extracellular stress or iron,gene,-,0,,,,,separate,,,missing,"GEO and PubMed for ribosome profiling or polysome sequencing of P. falciparum under a named stress (2026-08-19): nothing returned at all, not even off-target hits. The arm's one ribo-seq deposit (GSE58402, now shipped) is unstressed, and the polysomal series is an unperturbed IDC time course.","Ribosome profiling of parasites under heat shock, artemisinin or nutrient limitation, with its own unstressed control."
Pf,Pf_translation efficiency · asexual blood stage,translation,asexual blood stage,gene,-,0,,,,,separate,"PMID 41099697 GSE286083 (from the GEO index, verify assay and parasite-gene shape); GSE226628 (from the GEO index, verify assay and parasite-gene shape); GSE226632 (from the GEO index, verify assay and parasite-gene shape); PMID 25493618 GSE58402 (from the GEO index, verify assay and parasite-gene shape); PMID 36380373 GSE1124, GSE117613, GSE34404, GSE35858 (automatically proposed, verify assay and parasite-gene shape)",41099697: The organization principles of P. falciparum translation initiation features and their potential as drug targets. | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 25493618: Ribosome Profiling in P. falciparum asexual blood stages | 36380373: Multicohort transcriptome analysis of whole blood identifies robust human response signatures in Plasmodium falciparum infections.,,,
Pf,Pf_translation efficiency · extracellular stress,translation,extracellular stress,gene,-,0,,,,,separate,,,,,
Pf,Pf_protein abundance · asexual blood stage,protein abundance,asexual blood stage,gene,-,0,,,,,fill,"PXD075878 (from the PRIDE index, verify the modification and the organism); PXD060218 (from the PRIDE index, verify the modification and the organism); PXD048354 (from the PRIDE index, verify the modification and the organism); PXD046874 (from the PRIDE index, verify the modification and the organism); GSE326228 (from the GEO index, verify assay and parasite-gene shape); PMID 41758949 GSE302727 (from the GEO index, verify assay and parasite-gene shape); GSE267361 (from the GEO index, verify assay and parasite-gene shape); PMID 35938722 GSE208865 (from the GEO index, verify assay and parasite-gene shape); PMID 33997710 GSE154840 (from the GEO index, verify assay and parasite-gene shape); GSE152608 (from the GEO index, verify assay and parasite-gene shape); PMID 32076635 GSE111333 (from the GEO index, verify assay and parasite-gene shape); GSE145378 (from the GEO index, verify assay and parasite-gene shape)","from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism | from the GEO index; verify assay and parasite-gene shape | 41758949: Iron deficiency protects against Plasmodium infection and drives parasite molecular reprofiling. | from the GEO index; verify assay and parasite-gene shape | 35938722: The Plasmodium falciparum Nuclear Protein Phosphatase NIF4 is Required for Efficient Merozoite Invasion and Regulates Artemisinin Sensitivity | 33997710: PfAP2-HC, an unusual, heterochromatin-associated ApiAP2 factor of Plasmodium falciparum | from the GEO index; verify assay and parasite-gene shape | 32076635: A single nucleotide polymorphism in a Plasmodium berghei ApiAP2 transcription factor alters the development of host immunity | from the GEO index; verify assay and parasite-gene shape",,,
Pf,Pf_protein abundance · other life stages,protein abundance,stages,gene,-,0,,,,,separate,"PXD075878 (from the PRIDE index, verify the modification and the organism); PXD060218 (from the PRIDE index, verify the modification and the organism); PXD048354 (from the PRIDE index, verify the modification and the organism); PXD046874 (from the PRIDE index, verify the modification and the organism); GSE267361 (from the GEO index, verify assay and parasite-gene shape); PMID 35938722 GSE208865 (from the GEO index, verify assay and parasite-gene shape); PMID 34145386 GSE164175 (from the GEO index, verify assay and parasite-gene shape); GSE152608 (from the GEO index, verify assay and parasite-gene shape); PMID 32076635 GSE111333 (from the GEO index, verify assay and parasite-gene shape); PMID 32017676 GSE116219 (from the GEO index, verify assay and parasite-gene shape); PMID 31384004 GSE123839 (from the GEO index, verify assay and parasite-gene shape); PMID 34593836 GSE128115 (from the GEO index, verify assay and parasite-gene shape)","from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism | from the GEO index; verify assay and parasite-gene shape | 35938722: The Plasmodium falciparum Nuclear Protein Phosphatase NIF4 is Required for Efficient Merozoite Invasion and Regulates Artemisinin Sensitivity | 34145386: Protein Phosphatase 1 regulates atypical chromosome segregation and cell polarity during mitotic and meiotic division in Plasmodium sexual stages | from the GEO index; verify assay and parasite-gene shape | 32076635: A single nucleotide polymorphism in a Plasmodium berghei ApiAP2 transcription factor alters the development of host immunity | 32017676: The chromatin-bound proteome of the human malaria parasite, Plasmodium falciparum | 31384004: Transcriptome-wide dynamics of extensive m6A mRNA methylation during Plasmodium falciparum blood-stage development | 34593836: Malaria Host Pathogen Center Experiment 07A and 07B - Macaca fascicularis infected with Plasmodium knowlesi to produce and integrate clinical, hematological, parasitological, omics, telemetric and histopathological measures of acute primary infection.",,,
Pf,Pf_thermal stability (melting temperature) · asexual blood stage,protein abundance,asexual blood stage,gene,-,0,,,,,one,,,missing,"GEO for Plasmodium thermal proteome profiling, PRIDE for the same, and PubMed for CETSA or meltome in a malaria parasite (2026-08-19). GEO returns chromatin and transcriptome series ranked by recency -- GSE326228, GSE302727, GSE267361 and three more, none of them a melting curve. The Toxoplasma arm has one (mineCETSA, PMID 35976251); this organism does not.","A thermal proteome profile of asexual blood-stage parasites: melting temperature per protein, with or without a compound."
Pf,Pf_protein turnover · asexual blood stage,protein abundance,asexual blood stage,gene,-,0,,,,,one,,,missing,"The same sweep, and it returns the same six series as thermal stability, which is the shape of a search with nothing to find (2026-08-19). No pulse-SILAC, no cycloheximide chase and no degradation-rate table for P. falciparum in GEO or PRIDE. The Toxoplasma arm reached the same verdict across 233 ProteomeXchange deposits.",Pulse-SILAC or a cycloheximide chase with proteome-wide degradation rates.
Pf,Pf_phosphorylation · asexual blood stage,PTM,asexual blood stage,gene,A,5720,100.0%,2503,"n_phosphosites, has_phospho",2 columns,one,"PXD009465 (from the PRIDE index, verify the modification and the organism); PXD005207 (from the PRIDE index, verify the modification and the organism); GSE304394 (from the GEO index, verify assay and parasite-gene shape); PMID 38966997 GSE212052 (from the GEO index, verify assay and parasite-gene shape); PMID 37322481 GSE215427 (from the GEO index, verify assay and parasite-gene shape); PMID 37322481 GSE215426 (from the GEO index, verify assay and parasite-gene shape); PMID 35938722 GSE208865 (from the GEO index, verify assay and parasite-gene shape); PMID 33495219 GSE159516 (from the GEO index, verify assay and parasite-gene shape); PMID 31615031 GSE136008 (from the GEO index, verify assay and parasite-gene shape); PMID 21558492 GSE24416 (from the GEO index, verify assay and parasite-gene shape)","from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism | from the GEO index; verify assay and parasite-gene shape | 38966997: DNA sequence context and the chromatin landscape differentiate sequence-specific transcription factor binding in the human malaria parasite, Plasmodium falciparum | 37322481: Histone post translation modification and Transcriptional differences during the Plasmodium schizont-to-ring transition | 37322481: Histone post translation modification and Transcriptional differences during the Plasmodium schizont-to-ring transition | 35938722: The Plasmodium falciparum Nuclear Protein Phosphatase NIF4 is Required for Efficient Merozoite Invasion and Regulates Artemisinin Sensitivity | 33495219: Metabolic survival adaptations of Plasmodium falciparum exposed to sub-lethal doses of fosmidomycin | 31615031: The G9a histone methyltransferase inhibitor BIX-01294 modulates gene expression during gametocyte development and transmission | 21558492: Quantitative time-course profiling of Plasmodium falciparum transcripts and proteins throughout the 48-hour intraerythrocytic developmental cycle",,,
Pf,Pf_phosphorylation · kinase-substrate,PTM,perturbation,gene,C,62,1.1%,,cdpk1_dependent_sites,1 columns,separate,"PXD009465 (from the PRIDE index, verify the modification and the organism); PXD005207 (from the PRIDE index, verify the modification and the organism)",from the PRIDE index; verify the modification and the organism | from the PRIDE index; verify the modification and the organism,,,
Pf,Pf_acetylation,PTM,life stages,gene,A,5720,100.0%,1127,"n_acetylsites, has_acetyl",2 columns,one,"GSE304394 (from the GEO index, verify assay and parasite-gene shape); PMID 38966997 GSE227873 (from the GEO index, verify assay and parasite-gene shape); PMID 37322481 GSE215427 (from the GEO index, verify assay and parasite-gene shape); PMID 37322481 GSE215426 (from the GEO index, verify assay and parasite-gene shape); PMID 35938722 GSE208865 (from the GEO index, verify assay and parasite-gene shape); PMID 33495219 GSE159516 (from the GEO index, verify assay and parasite-gene shape); PMID 31615031 GSE136008 (from the GEO index, verify assay and parasite-gene shape); PMID 19091060 GSE13251 (from the GEO index, verify assay and parasite-gene shape)","from the GEO index; verify assay and parasite-gene shape | 38966997: DNA sequence context and the chromatin landscape differentiate sequence-specific transcription factor binding in the human malaria parasite, Plasmodium falciparum | 37322481: Histone post translation modification and Transcriptional differences during the Plasmodium schizont-to-ring transition | 37322481: Histone post translation modification and Transcriptional differences during the Plasmodium schizont-to-ring transition | 35938722: The Plasmodium falciparum Nuclear Protein Phosphatase NIF4 is Required for Efficient Merozoite Invasion and Regulates Artemisinin Sensitivity | 33495219: Metabolic survival adaptations of Plasmodium falciparum exposed to sub-lethal doses of fosmidomycin | 31615031: The G9a histone methyltransferase inhibitor BIX-01294 modulates gene expression during gametocyte development and transmission | 19091060: Comparison of relative transcript and protein abundance in Plasmodium falciparum schizont stage parasites",,,
Pf,Pf_N-myristoylation · asexual blood stage,PTM,asexual blood stage,gene,C,609,10.6%,,is_myristoylated,1 columns,one,,,,,
Pf,Pf_arginine methylation · asexual blood stage,PTM,asexual blood stage,gene,-,0,,,,,one,,,missing,"GEO, PRIDE and PubMed for an arginine-methylproteome of P. falciparum (2026-08-19). The sweep returns lactylation and chromatin studies -- GSE304394, GSE212052, GSE215426 -- because the assay term matches any post-translational study. Histone arginine methylation is measured in this organism (H3R2me2s ChIP, GSE214535), which is a chromatin mark rather than a per-protein methylproteome and answers a different slot.","An R-methyl peptide enrichment with sites per protein, of the kind the Toxoplasma arm carries from ToxoDB."
Pf,Pf_lactylation · asexual blood stage,PTM,asexual blood stage,gene,A,5720,100.0%,144,"n_lactylsites, has_lactyl",2 columns,one,"GSE304394 (from the GEO index, verify assay and parasite-gene shape); PMID 38966997 GSE212052 (from the GEO index, verify assay and parasite-gene shape); PMID 37322481 GSE215427 (from the GEO index, verify assay and parasite-gene shape); PMID 37322481 GSE215426 (from the GEO index, verify assay and parasite-gene shape); PMID 35938722 GSE208865 (from the GEO index, verify assay and parasite-gene shape); PMID 33495219 GSE159516 (from the GEO index, verify assay and parasite-gene shape); PMID 31615031 GSE136008 (from the GEO index, verify assay and parasite-gene shape); PMID 21558492 GSE24416 (from the GEO index, verify assay and parasite-gene shape)","from the GEO index; verify assay and parasite-gene shape | 38966997: DNA sequence context and the chromatin landscape differentiate sequence-specific transcription factor binding in the human malaria parasite, Plasmodium falciparum | 37322481: Histone post translation modification and Transcriptional differences during the Plasmodium schizont-to-ring transition | 37322481: Histone post translation modification and Transcriptional differences during the Plasmodium schizont-to-ring transition | 35938722: The Plasmodium falciparum Nuclear Protein Phosphatase NIF4 is Required for Efficient Merozoite Invasion and Regulates Artemisinin Sensitivity | 33495219: Metabolic survival adaptations of Plasmodium falciparum exposed to sub-lethal doses of fosmidomycin | 31615031: The G9a histone methyltransferase inhibitor BIX-01294 modulates gene expression during gametocyte development and transmission | 21558492: Quantitative time-course profiling of Plasmodium falciparum transcripts and proteins throughout the 48-hour intraerythrocytic developmental cycle",,,
