question,E,P,genes,corroborated,clusters_used
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",3.0,0.5,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",3.0,0.6,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",3.0,0.8,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",5.0,0.3,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",5.0,0.4,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",5.0,0.5,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",5.0,0.6,0,0,0
"Which unannotated genes sit with the GRA17 synthetic-lethal set, i.e. which genes are functionally coupled to the PVM nutrient pore?",5.0,0.8,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",1.25,0.3,2082,186,20
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",1.25,0.4,2082,186,20
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",1.25,0.5,1255,186,13
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",1.25,0.6,378,186,4
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",1.25,0.8,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",1.5,0.3,1255,186,13
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",1.5,0.4,1255,186,13
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",1.5,0.5,1255,186,13
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",1.5,0.6,378,186,4
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",1.5,0.8,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",2.0,0.3,69,69,2
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",2.0,0.4,69,69,2
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",2.0,0.5,69,69,2
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",2.0,0.6,69,69,2
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",2.0,0.8,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",3.0,0.3,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",3.0,0.4,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",3.0,0.5,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",3.0,0.6,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",3.0,0.8,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",5.0,0.3,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",5.0,0.4,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",5.0,0.5,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",5.0,0.6,0,0,0
"Which uncharacterised proteins are loaded into the oocyst, and are they the genes the sexual stages switch on?",5.0,0.8,0,0,0
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,1.25,0.3,339,1,30
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,1.25,0.4,339,1,30
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,1.25,0.5,279,1,24
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,1.25,0.6,227,1,16
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,1.25,0.8,135,1,9
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,1.5,0.3,279,1,24
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,1.5,0.4,279,1,24
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,1.5,0.5,279,1,24
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,1.5,0.6,227,1,16
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,1.5,0.8,135,1,9
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,2.0,0.3,181,1,12
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,2.0,0.4,181,1,12
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,2.0,0.5,181,1,12
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,2.0,0.6,181,1,12
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,2.0,0.8,135,1,9
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,3.0,0.3,0,0,0
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,3.0,0.4,0,0,0
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,3.0,0.5,0,0,0
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,3.0,0.6,0,0,0
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,3.0,0.8,0,0,0
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,5.0,0.3,0,0,0
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,5.0,0.4,0,0,0
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,5.0,0.5,0,0,0
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,5.0,0.6,0,0,0
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,5.0,0.8,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",1.25,0.3,322,0,39
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",1.25,0.4,322,0,39
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",1.25,0.5,103,0,13
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",1.25,0.6,1,0,1
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",1.25,0.8,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",1.5,0.3,76,0,11
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",1.5,0.4,76,0,11
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",1.5,0.5,76,0,11
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",1.5,0.6,1,0,1
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",1.5,0.8,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",2.0,0.3,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",2.0,0.4,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",2.0,0.5,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",2.0,0.6,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",2.0,0.8,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",3.0,0.3,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",3.0,0.4,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",3.0,0.5,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",3.0,0.6,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",3.0,0.8,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",5.0,0.3,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",5.0,0.4,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",5.0,0.5,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",5.0,0.6,0,0,0
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",5.0,0.8,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",1.25,0.3,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",1.25,0.4,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",1.25,0.5,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",1.25,0.6,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",1.25,0.8,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",1.5,0.3,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",1.5,0.4,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",1.5,0.5,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",1.5,0.6,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",1.5,0.8,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",2.0,0.3,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",2.0,0.4,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",2.0,0.5,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",2.0,0.6,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",2.0,0.8,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",3.0,0.3,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",3.0,0.4,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",3.0,0.5,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",3.0,0.6,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",3.0,0.8,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",5.0,0.3,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",5.0,0.4,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",5.0,0.5,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",5.0,0.6,0,0,0
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",5.0,0.8,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",1.25,0.3,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",1.25,0.4,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",1.25,0.5,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",1.25,0.6,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",1.25,0.8,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",1.5,0.3,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",1.5,0.4,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",1.5,0.5,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",1.5,0.6,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",1.5,0.8,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",2.0,0.3,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",2.0,0.4,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",2.0,0.5,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",2.0,0.6,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",2.0,0.8,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",3.0,0.3,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",3.0,0.4,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",3.0,0.5,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",3.0,0.6,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",3.0,0.8,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",5.0,0.3,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",5.0,0.4,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",5.0,0.5,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",5.0,0.6,0,0,0
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",5.0,0.8,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",1.25,0.3,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",1.25,0.4,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",1.25,0.5,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",1.25,0.6,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",1.25,0.8,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",1.5,0.3,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",1.5,0.4,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",1.5,0.5,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",1.5,0.6,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",1.5,0.8,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",2.0,0.3,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",2.0,0.4,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",2.0,0.5,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",2.0,0.6,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",2.0,0.8,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",3.0,0.3,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",3.0,0.4,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",3.0,0.5,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",3.0,0.6,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",3.0,0.8,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",5.0,0.3,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",5.0,0.4,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",5.0,0.5,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",5.0,0.6,0,0,0
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",5.0,0.8,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,1.25,0.3,1065,0,7
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,1.25,0.4,1065,0,7
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,1.25,0.5,379,0,2
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,1.25,0.6,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,1.25,0.8,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,1.5,0.3,379,0,2
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,1.5,0.4,379,0,2
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,1.5,0.5,379,0,2
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,1.5,0.6,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,1.5,0.8,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,2.0,0.3,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,2.0,0.4,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,2.0,0.5,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,2.0,0.6,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,2.0,0.8,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,3.0,0.3,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,3.0,0.4,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,3.0,0.5,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,3.0,0.6,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,3.0,0.8,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,5.0,0.3,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,5.0,0.4,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,5.0,0.5,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,5.0,0.6,0,0,0
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,5.0,0.8,0,0,0
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",1.25,0.3,182,54,48
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",1.25,0.4,182,54,48
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",1.25,0.5,136,54,36
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",1.25,0.6,93,54,27
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",1.25,0.8,17,14,5
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",1.5,0.3,134,54,34
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",1.5,0.4,134,54,34
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",1.5,0.5,134,54,34
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",1.5,0.6,93,54,27
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",1.5,0.8,17,14,5
