Gene ID	Number of transcript models
TGME49_242080	1
TGME49_242090	1
TGME49_242290	1
TGME49_242330	1
TGME49_243210	1
TGME49_243350	1
TGME49_243460	1
TGME49_243570	1
TGME49_243730	7
TGME49_243780	1
TGME49_243930	1
TGME49_243960	1
TGME49_244110	1
TGME49_244190	1
TGME49_244210	1
TGME49_244440	1
TGME49_244560	2
TGME49_244650	1
TGME49_244700	2
TGME49_245432	2
TGME49_245460	2
TGME49_245530	2
TGME49_245560	2
TGME49_245620	2
TGME49_245660	1
TGME49_245720	1
TGME49_246090	1
TGME49_246170	1
TGME49_246178	1
TGME49_246220	1
TGME49_246340	2
TGME49_246490	2
TGME49_246550	2
TGME49_247220	8
TGME49_247250	1
TGME49_247420	1
TGME49_247460	1
TGME49_247550	1
TGME49_247670	1
TGME49_247760	1
TGME49_247780	1
TGME49_248110	1
TGME49_248140	1
TGME49_248190	1
TGME49_248360	1
TGME49_248425	1
TGME49_248670	2
TGME49_248740	2
TGME49_248810	2
TGME49_249030	1
TGME49_249240	2
TGME49_249260	1
TGME49_249300	1
TGME49_249370	1
TGME49_249390	3
TGME49_249670	1
TGME49_249970	1
TGME49_249990	3
TGME49_250090	1
TGME49_250115	9
TGME49_250690	2
TGME49_250700	1
TGME49_250760	1
TGME49_250770	2
TGME49_250870	1
TGME49_250950	2
TGME49_250955	3
TGME49_251500	1
TGME49_251780	2
TGME49_252190	2
TGME49_252210	2
TGME49_252290	1
TGME49_252340	1
TGME49_252430	1
TGME49_253430	7
TGME49_253440	2
TGME49_253490	1
TGME49_253690	2
TGME49_253710	1
TGME49_253750	3
TGME49_253820	4
TGME49_254390	1
TGME49_254440	1
TGME49_254470	1
TGME49_254555	1
TGME49_254650	2
TGME49_254870	1
TGME49_254880	1
TGME49_255190	2
TGME49_255190	2
TGME49_255220	2
TGME49_255260	10
TGME49_255340	1
TGME49_255650	1
TGME49_256000	1
TGME49_257040	1
TGME49_257300	1
TGME49_257350	1
TGME49_257360	1
TGME49_257380	2
TGME49_257680	1
TGME49_257750	1
TGME49_257910	2
TGME49_258170	1
TGME49_258210	1
TGME49_258390	1
TGME49_258470	5
TGME49_258540	3
TGME49_258660	2
TGME49_258870	6
TGME49_259010	1
TGME49_259260	3
TGME49_259710	1
TGME49_259860	1
TGME49_260240	3
TGME49_260260	1
TGME49_260440	1
TGME49_260540	1
TGME49_260600	1
TGME49_261080	1
TGME49_261210	1
TGME49_261230	2
TGME49_261380	1
TGME49_261400	3
TGME49_261450	2
TGME49_261570	2
TGME49_261710	1
TGME49_261720	1
TGME49_262120	1
TGME49_262400	4
TGME49_262410	1
TGME49_262490	1
TGME49_262560	1
TGME49_262620	6
TGME49_262690	1
TGME49_262690	1
TGME49_262920	1
TGME49_262960	1
TGME49_262970	1
TGME49_263000	1
TGME49_263050	1
TGME49_263090	3
TGME49_263400	1
TGME49_263560	2
TGME49_263580	1
TGME49_263580	1
TGME49_263595	1
TGME49_263810	1
TGME49_263850	1
TGME49_264610	1
TGME49_264740	1
TGME49_265090	2
TGME49_265260	1
TGME49_265440	1
TGME49_265450	1
TGME49_265530	1
TGME49_265840	1
TGME49_266060	2
TGME49_266690	2
TGME49_266750	1
TGME49_266830	1
TGME49_266920	3
TGME49_266960	1
TGME49_266970	3
TGME49_267050	1
TGME49_267080	1
TGME49_267340	1
TGME49_267420	1
TGME49_267450	1
TGME49_267580	2
TGME49_267600	1
TGME49_267670	1
TGME49_267720	1
TGME49_267840	1
TGME49_268330	1
TGME49_268370	1
TGME49_268380	1
TGME49_268590	1
TGME49_268730	1
TGME49_268830	1
TGME49_268980	4
TGME49_269010	1
TGME49_269620	1
TGME49_269690	1
TGME49_269700	2
TGME49_269800	2
TGME49_269885	1
TGME49_269900	1
TGME49_269950	1
TGME49_270240	2
TGME49_270250	3
TGME49_270320	2
TGME49_270510	1
TGME49_270700	1
TGME49_270750	1
TGME49_270800	1
TGME49_270865	1
TGME49_270880	1
TGME49_270890	1
TGME49_271260	1
TGME49_271380	1
TGME49_271610	1
TGME49_271790	1
TGME49_271800	1
TGME49_271930	1
TGME49_271970	1
TGME49_272370	3
TGME49_272380	1
TGME49_272410	1
TGME49_272550	1
TGME49_273090	2
TGME49_273310	1
TGME49_273320	1
TGME49_273380	1
TGME49_273490	1
TGME49_273790	2
TGME49_275690	1
TGME49_275802	1
TGME49_275810	1
TGME49_275860	2
TGME49_276170	1
TGME49_276920	1
TGME49_277080	9
TGME49_277490	1
TGME49_277710	1
TGME49_277870	1
TGME49_278440	1
TGME49_278510	2
TGME49_278530	1
TGME49_278540	1
TGME49_278580	1
TGME49_278800	1
TGME49_278830	1
TGME49_278830	1
TGME49_278830	1
TGME49_278830	1
TGME49_278870	1
TGME49_278940	1
TGME49_279360	1
TGME49_279380	1
TGME49_279390	2
TGME49_280370	6
TGME49_280380	9
TGME49_280410	1
TGME49_280460	3
TGME49_280490	1
TGME49_280700	2
TGME49_281440	2
TGME49_281440	2
TGME49_281580	1
TGME49_282000	1
TGME49_282070	1
TGME49_283780	1
TGME49_283850	2
TGME49_284180	3
TGME49_284560	1
TGME49_285180	3
TGME49_285240	1
TGME49_285250	2
TGME49_285980	2
TGME49_286090	1
TGME49_286250	1
TGME49_286420	1
TGME49_286430	2
TGME49_286600	1
TGME49_286920	1
TGME49_287960	1
TGME49_287980	1
TGME49_288000	2
TGME49_288360	5
TGME49_288380	3
TGME49_288440	1
TGME49_288570	1
TGME49_288650	5
TGME49_288720	1
TGME49_289030	1
TGME49_289050	5
TGME49_289320	1
TGME49_289380	1
TGME49_289600	2
TGME49_289620	1
TGME49_289630	2
TGME49_289690	4
TGME49_289950	1
TGME49_290030	1
TGME49_290290	2
TGME49_290660	2
TGME49_290670	2
TGME49_290920	2
TGME49_290940	1
TGME49_290980	1
TGME49_291050	1
TGME49_291140	1
TGME49_291180	1
TGME49_291330	1
TGME49_291620	1
TGME49_291820	1
TGME49_291890	5
TGME49_291950	1
TGME49_292110	1
TGME49_292130	1
TGME49_292200	1
TGME49_292330	1
TGME49_292375	3
TGME49_292610	1
TGME49_292960	3
TGME49_293180	2
TGME49_293260	1
TGME49_293360	4
TGME49_293470	1
TGME49_293510	1
TGME49_293560	1
TGME49_293740	2
TGME49_293740	2
TGME49_293770	1
TGME49_293870	3
TGME49_294200	9
TGME49_294630	2
TGME49_294690	2
TGME49_294710	1
TGME49_294840	1
TGME49_294870	2
TGME49_294970	2
TGME49_294980	2
TGME49_295030	4
TGME49_295090	1
TGME49_295100	3
TGME49_295340	1
TGME49_295350	1
TGME49_295360	1
TGME49_295420	1
TGME49_295620	1
TGME49_295710	1
TGME49_295850	1
TGME49_295935	3
TGME49_297060	1
TGME49_297340	1
TGME49_297430	5
TGME49_297530	1
TGME49_297840	3
TGME49_297880	1
TGME49_297900	1
TGME49_298020	1
TGME49_298610	1
TGME49_298630	1
TGME49_299050	1
TGME49_299200	1
TGME49_299670	2
TGME49_299780	4
TGME49_299980	1
TGME49_300040	4
TGME49_300200	1
TGME49_301250	1
TGME49_301270	1
TGME49_301440	3
TGME49_304460	1
TGME49_304500	9
TGME49_304630	1
TGME49_304740	2
TGME49_305060	2
TGME49_305250	3
TGME49_305340	1
TGME49_305460	1
TGME49_305470	1
TGME49_306000	2
TGME49_306060	1
TGME49_306190	3
TGME49_306460	1
TGME49_306670	2
TGME49_307260	3
TGME49_307610	1
TGME49_307810	2
TGME49_307830	2
TGME49_307860	1
TGME49_308060	2
TGME49_308920	1
TGME49_309120	1
TGME49_309140	1
TGME49_309190	1
TGME49_309560	1
TGME49_309600	3
TGME49_309730	1
TGME49_309820	1
TGME49_309990	1
TGME49_310010	1
TGME49_310030	1
TGME49_310030	1
TGME49_310040	1
TGME49_310050	1
TGME49_310150	2
TGME49_310280	1
TGME49_310390	4
TGME49_310450	1
TGME49_310490	1
TGME49_310520	1
TGME49_310640	4
TGME49_310760	1
TGME49_310790	2
TGME49_310900	1
TGME49_310950	2
TGME49_311030	1
TGME49_311100	2
TGME49_311220	1
TGME49_311230	3
TGME49_311430	1
TGME49_311510	1
TGME49_311720	4
TGME49_311840	1
TGME49_311880	1
TGME49_312050	1
TGME49_312200	1
TGME49_312300	1
TGME49_312420	2
TGME49_312560	1
TGME49_312600	4
TGME49_312940	1
TGME49_312960	1
TGME49_313140	1
TGME49_313180	3
TGME49_313270	1
TGME49_313340	1
TGME49_313370	1
TGME49_313870	1
TGME49_313910	2
TGME49_314000	2
TGME49_314080	1
TGME49_314240	1
TGME49_314310	2
TGME49_314430	4
TGME49_314500	3
TGME49_314550	1
TGME49_314740	1
TGME49_314790	1
TGME49_314810	1
TGME49_314970	1
TGME49_315080	1
TGME49_315130	1
TGME49_315210	1
TGME49_315310	1
TGME49_315320	2
TGME49_315440	1
TGME49_315760	1
TGME49_315950	1
TGME49_316310	4
TGME49_316400	1
TGME49_316510	1
TGME49_316570	1
TGME49_316680	1
TGME49_316730	1
TGME49_318310	1
TGME49_318440	4
TGME49_319340	2
TGME49_319350	2
TGME49_319530	1
TGME49_319640	1
TGME49_319920	1
TGME49_320010	1
TGME49_320050	3
TGME49_320080	2
TGME49_320100	2
TGME49_320140	1
TGME49_320490	1
TGME49_320600	1
TGME49_321500	5
TGME49_321520	2
TGME49_321530	2
TGME49_321590	1
TGME49_321620	1
TGME49_321680	1
TGME49_329800	2
