Gene ID	Epitope Count	Confidence
TGME49_288830	1	High
TGME49_289380	1	High
TGME49_289620	2	High
TGME49_289680	1	High
TGME49_289690	5	High
TGME49_289750	2	High
TGME49_290660	3	High
TGME49_291890	2	High
TGME49_293000	1	Medium
TGME49_293425	1	High
TGME49_293700	1	Medium
TGME49_294200	4	High
TGME49_294690	1	High
TGME49_294800	13	Medium
TGME49_294820	1	Medium
TGME49_295110	2	Medium
TGME49_295460	1	High
TGME49_295590	1	Medium
TGME49_295650	1	Medium
TGME49_296010	1	High
TGME49_297880	2	High
TGME49_298630	1	Medium
TGME49_299210	1	High
TGME49_299780	1	High
TGME49_300100	1	Medium
TGME49_300200	13	High
TGME49_300260	1	Medium
TGME49_300310	3	Medium
TGME49_300360	1	Medium
TGME49_305040	1	High
TGME49_305590	1	Medium
TGME49_306060	1	High
TGME49_306330	2	High
TGME49_308020	7	Medium
TGME49_308090	1	Medium
TGME49_308870	1	High
TGME49_309210	1	High
TGME49_309590	4	Medium
TGME49_309760	5	High
TGME49_309810	1	High
TGME49_310640	1	High
TGME49_310700	1	Medium
TGME49_310780	10	High
TGME49_310790	1	High
TGME49_310950	1	High
TGME49_311360	1	High
TGME49_311360	1	Medium
TGME49_311720	2	Low
TGME49_312280	1	Medium
TGME49_313560	4	High
TGME49_314090	1	High
TGME49_314830	1	High
TGME49_315220	1	High
TGME49_315320	9	High
TGME49_315490	1	High
TGME49_316400	3	Medium
TGME49_318230	2	High
TGME49_318710	1	Medium
TGME49_319560	12	Medium
TGME49_320180	3	High
TGME49_320190	2	Medium
TGME49_321440	1	Medium
TGME49_323110	1	Medium
TGME49_324800	1	Low
TGME49_325700	1	Medium
TGME49_325800	9	Medium
TGME49_328700	1	Low
TGME49_500177	1	Medium
TGME49_500245	1	Medium
