Gene ID	EC numbers
TGME49_202530	6.1.1.12 (Aspartate--tRNA ligase)
TGME49_202540	3.1.4.17 (3',5'-cyclic-nucleotide phosphodiesterase)
TGME49_202550	3.1.3.16 (Protein-serine/threonine phosphatase)
TGME49_202568	N/A
TGME49_202572	2.4.99.18 (Dolichyl-diphosphooligosaccharide--protein glycotransferase)
TGME49_202580	N/A
TGME49_202590	2.3.2.6 (Lysine/arginine leucyltransferase)
TGME49_202600	N/A
TGME49_202610	3.1.3.16 (Protein-serine/threonine phosphatase)
TGME49_202620	N/A
TGME49_202630	3.6.4.3 (Transferred entry: 5.6.1.1)
TGME49_202640	N/A
TGME49_202650	N/A
TGME49_202660	N/A
TGME49_202670	N/A
TGME49_202680	3.4.24.64 (Mitochondrial processing peptidase)
TGME49_202690	N/A
TGME49_202700	N/A
TGME49_202720	N/A
TGME49_202730	N/A
TGME49_202735	N/A
TGME49_202740	N/A
TGME49_202750	N/A
TGME49_202760	N/A
TGME49_202770	N/A
TGME49_202780	2.7.11.17 (Calcium/calmodulin-dependent protein kinase)
TGME49_202790	N/A
TGME49_202800	1.9.3.1 (Transferred entry: 7.1.1.9)
TGME49_202810	N/A
TGME49_202820	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)
TGME49_202830	N/A
TGME49_202840	N/A
TGME49_202850	N/A
TGME49_202860	N/A
TGME49_202870	N/A
TGME49_202880	N/A
TGME49_202890	N/A
TGME49_202895	N/A
TGME49_202900	N/A
TGME49_202910	3.4.17.1 (Carboxypeptidase A)
TGME49_202920	2.6.1.85 (Aminodeoxychorismate synthase);4.1.3.27 (Anthranilate synthase)
TGME49_202930	N/A
TGME49_202940	N/A
TGME49_202950	N/A
TGME49_202960	N/A
TGME49_202970	N/A
TGME49_202975	N/A
TGME49_202980	N/A
TGME49_203010	2.7.11.18 ([Myosin light-chain] kinase)
TGME49_203020	N/A
TGME49_203030	N/A
TGME49_203040	N/A
TGME49_203050	N/A
TGME49_203060	N/A
TGME49_203070	N/A
TGME49_203080	N/A
TGME49_203090	N/A
TGME49_203100	N/A
TGME49_203110	2.3.3.1 (Citrate (Si)-synthase)
TGME49_203120	N/A
TGME49_203135	N/A
TGME49_203150	N/A
TGME49_203160	N/A
TGME49_203170	N/A
TGME49_203180	N/A
TGME49_203200	N/A
TGME49_203220	N/A
TGME49_203230	N/A
TGME49_203240	N/A
TGME49_203250	N/A
TGME49_203260	N/A
TGME49_203270	3.4.21.92 (Endopeptidase Clp)
TGME49_203280	N/A
TGME49_203290	N/A
TGME49_203300	N/A
TGME49_203310	N/A
TGME49_203320	N/A
TGME49_203330	N/A
TGME49_203340	N/A
TGME49_203350	N/A
TGME49_203358	N/A
TGME49_203362	N/A
TGME49_203370	N/A
TGME49_203375	N/A
TGME49_203380	N/A
TGME49_203390	N/A
TGME49_203400	N/A
TGME49_203420	2.7.8.7 (Holo-[acyl-carrier-protein] synthase)
TGME49_203440	N/A
TGME49_203450	N/A
TGME49_203450	N/A
TGME49_203460	N/A
TGME49_203470	N/A
TGME49_203480	N/A
TGME49_203490	N/A
TGME49_203500	1.4.1.1 (Alanine dehydrogenase)
TGME49_203505	N/A
TGME49_203510	N/A
TGME49_203520	N/A
TGME49_203540	N/A
TGME49_203590	N/A
TGME49_203600	N/A
TGME49_203610	N/A
TGME49_203620	N/A
TGME49_203630	N/A
TGME49_203665	N/A
TGME49_203682	N/A
TGME49_203685	N/A
TGME49_203688	N/A
TGME49_203690	N/A
TGME49_203700	N/A
TGME49_203705	N/A
TGME49_203710	N/A
TGME49_203720	N/A
TGME49_203730	N/A
TGME49_203740	N/A
TGME49_203750	N/A
TGME49_203760	N/A
TGME49_203770	N/A
TGME49_203780	N/A
TGME49_203790	N/A
TGME49_203800	N/A
TGME49_203810	N/A
TGME49_203815	N/A
TGME49_203820	N/A
TGME49_203830	N/A
TGME49_203840	N/A
TGME49_203860	N/A
TGME49_203870	N/A
TGME49_203880	N/A
TGME49_203890	N/A
TGME49_203900	N/A
TGME49_203910	N/A
TGME49_203930	N/A
TGME49_203940	N/A
TGME49_203950	N/A
TGME49_203960	N/A
TGME49_203970	2.4.99.18 (Dolichyl-diphosphooligosaccharide--protein glycotransferase)
TGME49_203980	N/A
TGME49_203985	N/A
TGME49_203990	N/A
TGME49_204000	N/A
TGME49_204010	N/A
TGME49_204020	N/A
TGME49_204040	N/A
TGME49_204045	N/A
TGME49_204050	3.4.21.62 (Subtilisin)
TGME49_204060	N/A
TGME49_204070	N/A
TGME49_204080	3.1.3.2 (Acid phosphatase)
TGME49_204090	N/A
TGME49_204100	N/A
TGME49_204110	N/A
TGME49_204120	N/A
TGME49_204130	N/A
TGME49_204140	N/A
TGME49_204160	N/A
TGME49_204270	N/A
TGME49_204280	2.7.11.24 (Mitogen-activated protein kinase);2.7.12.1 (Dual-specificity kinase)
TGME49_204290	N/A
TGME49_204300	N/A
TGME49_204310	N/A
TGME49_204320	N/A
TGME49_204325	N/A
TGME49_204330	N/A
TGME49_204340	N/A
TGME49_204350	N/A
TGME49_204360	3.4.21.62 (Subtilisin)
TGME49_204370	N/A
TGME49_204380	N/A
TGME49_204390	N/A
TGME49_204395	N/A
TGME49_204400	3.6.3.14 (Transferred entry: 7.1.2.2)
TGME49_204410	3.1.13.4 (Poly(A)-specific ribonuclease)
TGME49_204420	N/A
TGME49_204440	N/A
TGME49_204460	4.1.3.4 (Hydroxymethylglutaryl-CoA lyase)
TGME49_204480	N/A
TGME49_204490	N/A
TGME49_204500	N/A
TGME49_204505	N/A
TGME49_204510	N/A
TGME49_204520	N/A
TGME49_204530	N/A
TGME49_204540	N/A
TGME49_204550	N/A
TGME49_204560	2.3.1.111 (Mycocerosate synthase);2.3.1.94 (6-deoxyerythronolide-B synthase)
TGME49_204870	N/A
TGME49_204880	N/A
TGME49_205000	N/A
TGME49_205010	N/A
TGME49_205020	N/A
TGME49_205030	N/A
TGME49_205040	N/A
TGME49_205050	N/A
TGME49_205060	N/A
TGME49_205070	N/A
TGME49_205080	N/A
TGME49_205090	N/A
TGME49_205100	N/A
TGME49_205120	N/A
TGME49_205140	N/A
TGME49_205150	N/A
TGME49_205160	N/A
TGME49_205170	N/A
TGME49_205180	N/A
TGME49_205190	N/A
TGME49_205200	N/A
TGME49_205210	N/A
TGME49_205220	N/A
TGME49_205230	N/A
TGME49_205240	N/A
TGME49_205250	2.7.11.18 ([Myosin light-chain] kinase)
TGME49_205265	N/A
TGME49_205280	N/A
TGME49_205290	3.1.3.16 (Protein-serine/threonine phosphatase)
TGME49_205300	N/A
TGME49_205310	N/A
TGME49_205320	N/A
TGME49_205330	N/A
TGME49_205340	N/A
TGME49_205350	2.3.1.- (Transferring groups other than amino-acyl groups.)
TGME49_205360	N/A
TGME49_205370	N/A
TGME49_205380	3.1.3.11 (Fructose-bisphosphatase)
TGME49_205390	N/A
TGME49_205398	N/A
TGME49_205402	N/A
TGME49_205410	N/A
TGME49_205420	1.2.1.11 (Aspartate-semialdehyde dehydrogenase)
TGME49_205425	N/A
TGME49_205430	1.3.8.4 (Isovaleryl-CoA dehydrogenase)
TGME49_205440	2.7.1.150 (1-phosphatidylinositol-3-phosphate 5-kinase)
TGME49_205450	N/A
TGME49_205460	N/A
TGME49_205470	N/A
TGME49_205480	N/A
TGME49_205490	N/A
TGME49_205500	N/A
TGME49_205510	N/A
TGME49_205520	N/A
TGME49_205530	N/A
TGME49_205540	N/A
TGME49_205550	2.7.11.11 (cAMP-dependent protein kinase)
TGME49_205558	N/A
TGME49_205562	N/A
TGME49_205570	N/A
TGME49_205580	N/A
TGME49_205590	N/A
TGME49_205600	N/A
TGME49_205615	N/A
TGME49_205625	N/A
TGME49_205630	N/A
TGME49_205640	N/A
TGME49_205650	N/A
TGME49_205658	N/A
TGME49_205662	N/A
TGME49_205670	N/A
TGME49_205680	N/A
TGME49_205690	N/A
TGME49_205700	5.2.1.8 (Peptidylprolyl isomerase)
TGME49_205710	6.1.1.6 (Lysine--tRNA ligase)
TGME49_205720	3.5.4.4 (Adenosine deaminase)
TGME49_205730	N/A
TGME49_205740	N/A
TGME49_205750	N/A
TGME49_205760	N/A
TGME49_205770	N/A
TGME49_206290	N/A
TGME49_206300	N/A
TGME49_206310	1.9.3.1 (Transferred entry: 7.1.1.9)
TGME49_206320	N/A
TGME49_206330	N/A
TGME49_206340	N/A
TGME49_206350	N/A
TGME49_206360	N/A
TGME49_206380	N/A
TGME49_206390	N/A
TGME49_206400	4.1.99.3 (Deoxyribodipyrimidine photo-lyase)
TGME49_206415	N/A
TGME49_206430	N/A
TGME49_206440	N/A
TGME49_206450	N/A
TGME49_206460	N/A
TGME49_206470	1.8.1.4 (Dihydrolipoyl dehydrogenase)
TGME49_206480	N/A
TGME49_206490	N/A
TGME49_206500	N/A
TGME49_206510	3.4.24.56 (Insulysin)
TGME49_206520	N/A
TGME49_206540	N/A
TGME49_206550	N/A
TGME49_206560	N/A
TGME49_206570	N/A
TGME49_206580	N/A
TGME49_206590	2.7.11.17 (Calcium/calmodulin-dependent protein kinase)
TGME49_206600	N/A
TGME49_206610	2.3.1.12 (Dihydrolipoyllysine-residue acetyltransferase)
TGME49_206620	N/A
TGME49_206630	N/A
TGME49_206640	N/A
TGME49_206650	2.1.1.43 (Transferred entry: 2.1.1.354)
TGME49_206660	N/A
TGME49_206670	N/A
TGME49_206680	N/A
TGME49_206690	N/A
TGME49_206700	N/A
TGME49_206710	N/A
TGME49_206910	N/A
TGME49_207005	N/A
TGME49_207010	N/A
TGME49_207015	N/A
TGME49_207020	N/A
TGME49_207040	N/A
TGME49_207050	N/A
TGME49_207060	1.17.4.1 (Ribonucleoside-diphosphate reductase)
TGME49_207065	N/A
TGME49_207070	N/A
TGME49_207080	2.3.1.48 (Histone acetyltransferase)
TGME49_207100	N/A
TGME49_207120	N/A
TGME49_207130	N/A
TGME49_207140	N/A
TGME49_207150	N/A
TGME49_207160	N/A
TGME49_207170	N/A
TGME49_207180	4.1.1.48 (Indole-3-glycerol-phosphate synthase)
TGME49_207200	N/A
TGME49_207210	N/A
TGME49_207230	N/A
TGME49_207240	N/A
TGME49_207250	N/A
TGME49_207350	N/A
TGME49_207365	N/A
TGME49_207370	N/A
TGME49_207380	N/A
TGME49_207390	N/A
TGME49_207400	N/A
TGME49_207403	N/A
TGME49_207420	N/A
TGME49_207430	N/A
TGME49_207440	N/A
TGME49_207450	N/A
TGME49_207460	N/A
TGME49_207590	3.1.3.16 (Protein-serine/threonine phosphatase)
TGME49_207600	N/A
TGME49_207610	N/A
TGME49_207620	1.18.1.3 (Ferredoxin--NAD(+) reductase)
TGME49_207630	N/A
TGME49_207640	6.1.1.5 (Isoleucine--tRNA ligase)
TGME49_207650	N/A
TGME49_207665	N/A
TGME49_207680	N/A
TGME49_207690	N/A
TGME49_207700	N/A
TGME49_207710	2.7.8.11 (CDP-diacylglycerol--inositol 3-phosphatidyltransferase)
TGME49_207720	N/A
TGME49_207730	N/A
TGME49_207740	N/A
TGME49_207750	N/A
TGME49_207760	N/A
TGME49_207770	N/A
TGME49_207780	N/A
TGME49_207790	N/A
TGME49_207800	N/A
TGME49_207810	N/A
TGME49_207820	2.7.11.24 (Mitogen-activated protein kinase)
TGME49_207830	N/A
TGME49_207840	N/A
TGME49_207900	N/A
TGME49_207910	N/A
TGME49_207920	N/A
TGME49_207930	N/A
TGME49_207940	N/A
TGME49_207950	N/A
TGME49_207955	N/A
TGME49_207960	N/A
TGME49_207965	N/A
TGME49_207970	N/A
TGME49_207980	2.4.1.198 (Phosphatidylinositol N-acetylglucosaminyltransferase)
TGME49_207990	N/A
TGME49_208010	N/A
TGME49_208020	N/A
TGME49_208030	N/A
TGME49_208040	1.1.1.- (With NAD(+) or NADP(+) as acceptor.);1.1.1.21 (Aldose reductase)
TGME49_208050	3.6.3.44 (Transferred entry: 7.6.2.2)
TGME49_208070	2.7.4.21 (Inositol-hexakisphosphate kinase)
TGME49_208090	N/A
TGME49_208200	N/A
TGME49_208300	N/A
TGME49_208310	N/A
TGME49_208320	3.1.3.32 (Polynucleotide 3'-phosphatase)
TGME49_208330	N/A
TGME49_208340	N/A
TGME49_208350	N/A
TGME49_208360	N/A
TGME49_208370	N/A
TGME49_208380	N/A
TGME49_208390	N/A
TGME49_208400	N/A
TGME49_208410	N/A
TGME49_208420	N/A
TGME49_208430	N/A
TGME49_208440	N/A
TGME49_208450	N/A
TGME49_208450	N/A
TGME49_208460	N/A
TGME49_208470	N/A
TGME49_208480	N/A
TGME49_208490	N/A
TGME49_208500	3.1.3.16 (Protein-serine/threonine phosphatase)
TGME49_208510	N/A
TGME49_208530	2.4.2.11 (Transferred entry: 6.3.4.21)
TGME49_208540	N/A
TGME49_208550	N/A
TGME49_208560	N/A
TGME49_208570	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)
TGME49_208580	6.5.1.1 (DNA ligase (ATP))
TGME49_208590	3.6.3.14 (Transferred entry: 7.1.2.2)
TGME49_208710	N/A
TGME49_208718	3.1.3.16 (Protein-serine/threonine phosphatase)
TGME49_208722	N/A
TGME49_208730	N/A
TGME49_208740	N/A
TGME49_208750	N/A
TGME49_208760	N/A
TGME49_208770	N/A
TGME49_208780	6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)
TGME49_208790	N/A
TGME49_208800	N/A
TGME49_208810	N/A
TGME49_208820	2.2.1.7 (1-deoxy-D-xylulose-5-phosphate synthase)
TGME49_208830	N/A
TGME49_208842	N/A
TGME49_208850	N/A
TGME49_208910	N/A
TGME49_208970	N/A
TGME49_208980	N/A
TGME49_208990	N/A
TGME49_209000	N/A
TGME49_209005	N/A
TGME49_209010	N/A
TGME49_209020	N/A
TGME49_209030	N/A
TGME49_209050	2.7.11.25 (Mitogen-activated protein kinase kinase kinase)
TGME49_209060	N/A
TGME49_209070	N/A
TGME49_209080	N/A
TGME49_209090	N/A
TGME49_209095	N/A
TGME49_209100	N/A
TGME49_209108	N/A
TGME49_209120	N/A
TGME49_209130	N/A
TGME49_209140	N/A
TGME49_209150	1.6.5.3 (Transferred entry: 7.1.1.2)
TGME49_209160	2.3.1.97 (Glycylpeptide N-tetradecanoyltransferase)
TGME49_209170	N/A
TGME49_209180	N/A
TGME49_209190	3.6.3.44 (Transferred entry: 7.6.2.2)
TGME49_209200	N/A
TGME49_209210	N/A
TGME49_209230	N/A
TGME49_209240	N/A
TGME49_209250	N/A
TGME49_209260	1.9.3.1 (Transferred entry: 7.1.1.9)
TGME49_209270	N/A
TGME49_209280	N/A
TGME49_209290	N/A
TGME49_209300	2.3.1.48 (Histone acetyltransferase)
TGME49_209420	N/A
TGME49_209430	N/A
TGME49_209440	N/A
TGME49_209450	N/A
TGME49_209460	N/A
TGME49_209470	N/A
TGME49_209490	N/A
TGME49_209500	N/A
TGME49_209510	N/A
TGME49_209515	N/A
TGME49_209520	N/A
TGME49_209530	N/A
TGME49_209540	N/A
TGME49_209550	N/A
TGME49_209560	N/A
TGME49_209570	3.1.13.1 (Exoribonuclease II)
TGME49_209580	2.1.1.173 (23S rRNA (guanine(2445)-N(2))-methyltransferase)
TGME49_209583	N/A
TGME49_209585	N/A
TGME49_209590	N/A
TGME49_209600	N/A
TGME49_209610	N/A
TGME49_209620	3.4.23.34 (Cathepsin E)
TGME49_209630	N/A
TGME49_209640	N/A
TGME49_209650	2.7.7.49 (RNA-directed DNA polymerase)
TGME49_209680	N/A
TGME49_209690	N/A
TGME49_209700	N/A
TGME49_209705	N/A
TGME49_209710	N/A
TGME49_209720	N/A
TGME49_209730	N/A
TGME49_209740	N/A
TGME49_209755	N/A
TGME49_209770	N/A
TGME49_209780	N/A
TGME49_209790	N/A
TGME49_209800	N/A
TGME49_209810	N/A
TGME49_209820	N/A
TGME49_209830	N/A
TGME49_209850	N/A
TGME49_209860	N/A
TGME49_209870	3.1.3.41 (4-nitrophenylphosphatase)
TGME49_209890	N/A
TGME49_209900	N/A
TGME49_209910	N/A
TGME49_209920	N/A
TGME49_209930	N/A
TGME49_209940	N/A
TGME49_209945	N/A
TGME49_209950	N/A
TGME49_209960	2.4.1.18 (1,4-alpha-glucan branching enzyme);2.4.1.21 (Starch synthase)
TGME49_209970	N/A
TGME49_209985	2.7.11.11 (cAMP-dependent protein kinase)
TGME49_210095	N/A
TGME49_210100	N/A
TGME49_210210	N/A
TGME49_210230	N/A
TGME49_210255	N/A
TGME49_210260	1.1.1.8 (Glycerol-3-phosphate dehydrogenase (NAD(+)))
TGME49_210270	N/A
TGME49_210280	2.7.11.18 ([Myosin light-chain] kinase)
TGME49_210300	N/A
TGME49_210310	N/A
TGME49_210320	N/A
TGME49_210330	N/A
TGME49_210345	N/A
TGME49_210360	N/A
TGME49_210370	N/A
TGME49_210380	N/A
TGME49_210390	N/A
TGME49_210400	N/A
TGME49_210408	N/A
TGME49_210412	N/A
TGME49_210420	N/A
TGME49_210430	N/A
TGME49_210440	2.7.7.19 (Polynucleotide adenylyltransferase)
TGME49_210450	N/A
TGME49_210490	N/A
TGME49_210600	N/A
TGME49_210678	N/A
TGME49_210682	N/A
TGME49_210690	N/A
TGME49_210700	N/A
TGME49_210715	N/A
TGME49_210730	N/A
TGME49_210740	N/A
TGME49_210750	6.1.1.20 (Phenylalanine--tRNA ligase)
TGME49_210760	N/A
TGME49_210770	N/A
TGME49_210778	N/A
TGME49_210781	3.1.2.15 (Deleted entry)
TGME49_210783	N/A
TGME49_210787	1.8.3.2 (Thiol oxidase)
TGME49_210790	1.3.98.1 (Dihydroorotate oxidase (fumarate))
TGME49_210800	N/A
TGME49_210810	N/A
TGME49_210815	N/A
TGME49_210820	N/A
TGME49_210830	2.7.11.1 (Non-specific serine/threonine protein kinase)
TGME49_210840	6.1.1.19 (Arginine--tRNA ligase)
TGME49_210950	N/A
TGME49_210960	2.7.7.7 (DNA-directed DNA polymerase)
TGME49_210970	N/A
TGME49_210975	N/A
TGME49_210980	N/A
TGME49_211010	N/A
TGME49_211020	N/A
TGME49_211030	N/A
TGME49_211040	N/A
TGME49_211050	3.6.1.3 (Adenosinetriphosphatase)
TGME49_211060	N/A
TGME49_211080	N/A
TGME49_211090	2.8.1.7 (Cysteine desulfurase)
TGME49_211150	N/A
TGME49_211220	N/A
TGME49_211230	5.3.1.23 (S-methyl-5-thioribose-1-phosphate isomerase)
TGME49_211240	3.1.1.29 (Aminoacyl-tRNA hydrolase)
TGME49_211250	N/A
TGME49_211260	N/A
TGME49_211270	N/A
TGME49_211280	N/A
TGME49_211290	N/A
TGME49_211300	N/A
TGME49_211310	N/A
TGME49_211320	N/A
TGME49_211330	3.4.11.18 (Methionyl aminopeptidase)
TGME49_211340	N/A
TGME49_211350	N/A
TGME49_211360	N/A
TGME49_211385	N/A
TGME49_211390	N/A
TGME49_211400	N/A
TGME49_211410	N/A
TGME49_211420	N/A
TGME49_211420	N/A
TGME49_211430	N/A
TGME49_211440	N/A
TGME49_211450	N/A
TGME49_211460	N/A
TGME49_211470	N/A
TGME49_211480	N/A
TGME49_211600	N/A
TGME49_211610	N/A
TGME49_211630	N/A
TGME49_211640	N/A
TGME49_211650	N/A
TGME49_211670	2.7.7.8 (Polyribonucleotide nucleotidyltransferase)
TGME49_211675	N/A
TGME49_211680	2.4.99.18 (Dolichyl-diphosphooligosaccharide--protein glycotransferase)
TGME49_211690	N/A
TGME49_211695	N/A
TGME49_211700	N/A
TGME49_211710	N/A
TGME49_211720	N/A
TGME49_211730	2.1.1.43 (Transferred entry: 2.1.1.354)
TGME49_211850	N/A
TGME49_211860	N/A
TGME49_211870	N/A
TGME49_211890	N/A
TGME49_211910	N/A
TGME49_211920	N/A
TGME49_212030	N/A
TGME49_212075	N/A
TGME49_212090	N/A
TGME49_212100	N/A
TGME49_212110	N/A
TGME49_212130	3.1.1.3 (Triacylglycerol lipase)
TGME49_212140	N/A
TGME49_212150	N/A
TGME49_212160	N/A
TGME49_212170	N/A
TGME49_212180	N/A
TGME49_212190	N/A
TGME49_212200	N/A
TGME49_212210	N/A
TGME49_212220	N/A
TGME49_212230	N/A
TGME49_212240	N/A
TGME49_212250	N/A
TGME49_212260	N/A
TGME49_212270	N/A
TGME49_212275	N/A
TGME49_212280	N/A
TGME49_212290	N/A
TGME49_212300	N/A
TGME49_212310	3.6.3.14 (Transferred entry: 7.1.2.2)
TGME49_212410	N/A
TGME49_212420	N/A
TGME49_212710	1.14.16.4 (Tryptophan 5-monooxygenase)
TGME49_212725	N/A
TGME49_212735	N/A
TGME49_212740	1.14.16.2 (Tyrosine 3-monooxygenase)
TGME49_212750	N/A
TGME49_212760	N/A
TGME49_212770	N/A
TGME49_212775	N/A
TGME49_212780	N/A
TGME49_212800	N/A
TGME49_212810	N/A
TGME49_212820	N/A
TGME49_212830	N/A
TGME49_212840	N/A
TGME49_212850	N/A
TGME49_212860	N/A
TGME49_212880	N/A
TGME49_212900	N/A
TGME49_212910	3.4.21.105 (Rhomboid protease)
TGME49_212920	N/A
TGME49_212930	N/A
TGME49_212937	N/A
TGME49_212940	N/A
TGME49_212950	N/A
TGME49_212960	N/A
TGME49_212970	2.7.11.17 (Calcium/calmodulin-dependent protein kinase)
TGME49_212980	N/A
TGME49_212990	N/A
TGME49_213000	2.7.7.7 (DNA-directed DNA polymerase)
TGME49_213010	N/A
TGME49_213020	N/A
TGME49_213030	N/A
TGME49_213040	N/A
TGME49_213050	N/A
TGME49_213060	3.4.13.20 (Beta-Ala-His dipeptidase)
TGME49_213065	N/A
TGME49_213067	N/A
TGME49_213069	N/A
TGME49_213072	N/A
TGME49_213100	N/A
TGME49_213115	N/A
TGME49_213240	N/A
TGME49_213255	N/A
TGME49_213280	N/A
TGME49_213290	N/A
TGME49_213300	N/A
TGME49_213310	N/A
TGME49_213325	N/A
TGME49_213340	4.1.2.10 ((R)-mandelonitrile lyase)
TGME49_213350	N/A
TGME49_213360	N/A
TGME49_213370	N/A
TGME49_213380	N/A
TGME49_213388	N/A
TGME49_213392	N/A
TGME49_213400	N/A
TGME49_213410	N/A
TGME49_213415	N/A
TGME49_213420	N/A
TGME49_213460	N/A
TGME49_213480	N/A
TGME49_213490	N/A
TGME49_213500	N/A
TGME49_213510	N/A
TGME49_213520	3.5.1.47 (N-acetyldiaminopimelate deacetylase)
TGME49_213530	N/A
TGME49_213550	N/A
TGME49_213560	N/A
TGME49_213570	N/A
TGME49_213580	N/A
TGME49_213590	N/A
TGME49_213600	N/A
TGME49_213610	N/A
TGME49_213610	N/A
TGME49_213620	N/A
TGME49_213635	N/A
TGME49_213650	N/A
TGME49_213660	N/A
TGME49_213670	N/A
TGME49_213680	4.2.1.79 (2-methylcitrate dehydratase)
TGME49_213690	N/A
TGME49_213700	N/A
TGME49_213710	N/A
TGME49_213720	N/A
TGME49_213730	N/A
TGME49_213740	N/A
TGME49_213746	N/A
TGME49_213748	N/A
TGME49_213752	N/A
TGME49_213760	N/A
TGME49_213770	N/A
TGME49_213780	N/A
TGME49_213790	N/A
TGME49_213800	2.3.1.23 (1-acylglycerophosphocholine O-acyltransferase)
TGME49_213810	N/A
TGME49_213820	N/A
TGME49_213830	N/A
TGME49_213840	N/A
TGME49_213850	N/A
TGME49_213860	N/A
TGME49_213870	3.1.2.15 (Deleted entry)
TGME49_213880	N/A
TGME49_213890	N/A
TGME49_213900	N/A
TGME49_213910	N/A
TGME49_213920	N/A
TGME49_213930	N/A
TGME49_213940	N/A
TGME49_213950	N/A
TGME49_213970	2.1.1.176 (16S rRNA (cytosine(967)-C(5))-methyltransferase)
TGME49_214070	N/A
TGME49_214080	N/A
