gene_id	utr5_length	utr5_n_uaugs	utr5_n_uorfs	utr5_n_oorfs	utr5_n_inframe_ext	utr5_kozak_score
TGME49_207820	1353	15	15	0	0	0.5117547152
TGME49_207830	920	8	8	0	0	0.8901708442
TGME49_207840	112	0				0.9400753929
TGME49_207900	1329	13	12	0	1	0.7515192484
TGME49_207910	1506	20	19	1	0	0.9421249965
TGME49_207920	1157	6	4	1	1	0.8901703753
TGME49_207930	307	4	4	0	0	0.8079248966
TGME49_207940	434	3	3	0	0	0.6645212458
TGME49_207950	362	5	4	1	0	0.7422728797
TGME49_207960	944	10	10	0	0	0.8092055354
TGME49_207980	328	1	1	0	0	0.8829564433
TGME49_207990	587	1	1	0	0	0.9835775834
TGME49_208010	1138	6	6	0	0	0.8623702558
TGME49_208030	344	1	1	0	0	0.831944463
TGME49_208040	1142	12	11	1	0	0.6198004131
TGME49_208070	2074	15	14	1	0	0.8039543108
TGME49_208200	753	5	4	1	0	0.9001987183
TGME49_208300	935	11	11	0	0	0.7952029251
TGME49_208310	526	7	7	0	0	0.8877395696
TGME49_208320	679	7	6	1	0	0.8138501537
TGME49_208340	486	5	5	0	0	0.4478919226
TGME49_208350	811	5	4	0	1	0.9076838865
TGME49_208370	435	5	5	0	0	0.8171903864
TGME49_208390	543	5	4	1	0	0.8509886395
TGME49_208400	1222	11	8	3	0	0.8285025627
TGME49_208410	2429	20	19	1	0	0.8462578405
TGME49_208420	1532	8	8	0	0	0.8837095074
TGME49_208430	197	0				0.9054725234
TGME49_208440	331	0				0.7775361271
TGME49_208450	135	0				0.8338724081
TGME49_208490	529	0				0.6734677837
TGME49_208500	838	2	2	0	0	0.5080330687
TGME49_208510	554	7	6	1	0	0.6069059569
TGME49_208530	798	5	5	0	0	0.6515092516
TGME49_208540	507	0				0.5694089514
TGME49_208550	1002	11	11	0	0	0.6549975953
TGME49_208560	1656	20	19	0	1	0.4596744613
TGME49_208570	560	10	9	0	1	0.8244912246
TGME49_208580	520	3	0	3	0	0.3873429339
TGME49_208590	1121	5	5	0	0	0.8214728423
TGME49_208718	48	0				0.7709812811
TGME49_208722	3341	30	30	0	0	0.5090527118
TGME49_208730	1150	23	23	0	0	0.9377557242
TGME49_208740	382	7	6	1	0	0.9289468777
TGME49_208750	1084	15	14	1	0	0.8542421197
TGME49_208780	441	0				0.8469649569
TGME49_208790	856	6	5	1	0	0.9756813848
TGME49_208800	1004	17	17	0	0	0.6059709597
TGME49_208820	1105	7	6	1	0	0.7404019112
TGME49_208830	617	2	1	1	0	0.5033623314
TGME49_208842	545	7	2	4	1	0.537349478
TGME49_208850	603	11	11	0	0	0.9012977294
TGME49_208910	857	11	11	0	0	0.9128981712
TGME49_208970	782	2	2	0	0	0.7573893151
TGME49_208980	896	10	10	0	0	0.744139443
TGME49_208990	837	7	7	0	0	0.7961573859
TGME49_209000	1431	7	7	0	0	0.7934616535
TGME49_209010	373	2	1	1	0	0.6207666508
TGME49_209020	734	5	5	0	0	0.8633000718
TGME49_209030	118	0				0.8992864301
TGME49_209050	1020	10	10	0	0	0.6782258061
TGME49_209060	1547	7	6	1	0	0.8041630133
TGME49_209070	456	3	1	2	0	0.4251126588
TGME49_209080	854	5	5	0	0	0.8635017896
TGME49_209090	464	4	3	1	0	0.8807219717
TGME49_209100	455	0				0.9755151259
TGME49_209108	957	3	2	0	1	0.8183850484
TGME49_209120	529	2	0	2	0	0.691095817
TGME49_209130	951	5	4	1	0	0.5727103086
TGME49_209140	801	1	1	0	0	0.6709544235
TGME49_209150	899	2	2	0	0	0.9132937438
TGME49_209160	752	2	2	0	0	0.9266079458
TGME49_209170	576	5	4	1	0	0.9969008932
TGME49_209190	681	0				0.5314207745
TGME49_209200	507	4	4	0	0	0.8108496442
TGME49_209210	964	1	1	0	0	0.4974472393
TGME49_209240	1788	14	14	0	0	0.7567751267
TGME49_209250	671	5	5	0	0	0.8148370495
TGME49_209260	210	0				0.7564469481
TGME49_209270	456	5	5	0	0	0.8599975883
TGME49_209280	1475	11	11	0	0	0.8535967597
TGME49_209290	92	0				0.9625855951
TGME49_209300	1835	27	26	1	0	0.877113193
TGME49_209420	181	1	1	0	0	0.7774580638
TGME49_209430	709	12	11	1	0	0.8938671266
TGME49_209440	2739	31	31	0	0	0.7332021482
TGME49_209450	1770	17	17	0	0	0.8095693849
TGME49_209460	878	10	10	0	0	0.8679516903
TGME49_209490	728	5	5	0	0	0.9145986108
TGME49_209500	1673	15	15	0	0	0.8270977169
TGME49_209520	2086	21	19	2	0	0.8226726596
TGME49_209530	598	6	6	0	0	0.4747461813
TGME49_209570	520	9	9	0	0	0.8767784054
TGME49_209580	421	8	5	3	0	0.8679621685
TGME49_209600	172	0				0.9214422533
TGME49_209630	1160	9	9	0	0	0.8483724575
TGME49_209640	205	0				0.7837153228
TGME49_209650	1264	14	8	6	0	0.4706878728
TGME49_209680	611	5	5	0	0	0.8494559188
TGME49_209690	861	6	6	0	0	0.8253576603
TGME49_209700	31	2	2	0	0	0.6280189987
TGME49_209710	414	8	6	2	0	0.5285035265
TGME49_209720	47	0				0.9220326844
TGME49_209730	784	8	8	0	0	0.8251934287
TGME49_209740	1038	12	12	0	0	0.9127744407
TGME49_209770	950	7	5	2	0	0.4445970934
TGME49_209790	302	0				0.9785968562
TGME49_209800	842	2	2	0	0	0.8975653107
TGME49_209820	1317	5	4	0	1	0.8309426477
TGME49_209850	841	2	2	0	0	0.8888871125
TGME49_209860	203	0				0.8370071764
TGME49_209870	520	2	0	1	1	0.9039345831
TGME49_209890	879	4	4	0	0	0.8777640055
TGME49_209900	3231	52	52	0	0	0.9075165793
TGME49_209910	348	1	1	0	0	0.8494057796
TGME49_209940	1252	10	10	0	0	0.6794087457
TGME49_209945	315	0				0.9767878576
TGME49_209950	471	0				0.9798692203
TGME49_209960	1240	3	3	0	0	0.6069384837
TGME49_209970	707	5	3	2	0	0.882501932
TGME49_210230	530	7	7	0	0	0.5127212925
TGME49_210255	778	8	7	0	1	0.8895395753
TGME49_210270	1111	13	10	3	0	0.5927765284
TGME49_210280	1279	7	7	0	0	0.6271343208
TGME49_210300	1052	9	8	1	0	0.5444615306
TGME49_210310	1273	8	8	0	0	0.7208106454
TGME49_210345	816	7	7	0	0	0.5833535117
TGME49_210360	1525	6	6	0	0	0.5304320537
TGME49_210370	87	1	0	1	0	0.5057544077
TGME49_210380	839	5	5	0	0	0.8538167511
TGME49_210390	502	2	1	1	0	0.7243716742
TGME49_210408	197	1	0	1	0	0.9738235397
TGME49_210412	439	5	4	1	0	0.571807361
TGME49_210420	421	4	4	0	0	0.8555375798
TGME49_210430	1558	11	11	0	0	0.8528697431
TGME49_210440	807	5	5	0	0	0.6648151655
TGME49_210490	390	4	3	1	0	0.7644253044
TGME49_210682	277	1	1	0	0	0.8124114415
TGME49_210690	136	2	2	0	0	0.9045023924
TGME49_210700	1271	7	5	2	0	0.8952552114
TGME49_210730	802	4	4	0	0	0.484972335
TGME49_210750	1592	35	35	0	0	0.5094178533
TGME49_210760	381	5	2	1	2	0.5819316472
TGME49_210770	446	8	8	0	0	0.5267393804
TGME49_210778	232	3	3	0	0	0.8539362469
TGME49_210781	1425	7	7	0	0	0.7765387106
TGME49_210787	1433	24	23	1	0	0.5236860123
TGME49_210790	535	5	5	0	0	0.8013745509
TGME49_210800	160	0				0.859999453
TGME49_210810	451	2	1	1	0	0.8894509029
TGME49_210815						
TGME49_210820	1313	11	11	0	0	0.9141521664
TGME49_210830	533	2	2	0	0	0.8818203562
TGME49_210840	414	2	2	0	0	0.8994610193
TGME49_210960	937	2	1	1	0	0.9630256637
TGME49_210980	1205	2	2	0	0	0.8460053715
TGME49_211010	1933	12	12	0	0	0.6166260594
TGME49_211020	1045	2	2	0	0	0.9081761021
TGME49_211030	244	0				0.9051868723
TGME49_211040	177	0				0.9469756499
TGME49_211060	449	0				0.8483546849
TGME49_211090	1224	5	5	0	0	0.8264877945
TGME49_211150	1073	8	8	0	0	0.9736993622
TGME49_211220	1444	5	4	1	0	0.9195214113
TGME49_211230	1106	4	4	0	0	0.5363749504
TGME49_211240	592	3	3	0	0	0.6958034406
TGME49_211250	265	2	2	0	0	0.5154823008
TGME49_211260	928	12	12	0	0	0.62774161
TGME49_211270	1083	12	11	1	0	0.8740748267
TGME49_211280	2635	45	45	0	0	0.2987810475
TGME49_211290	331	3	3	0	0	0.7764520231
TGME49_211300	372	7	5	2	0	0.8132667827
TGME49_211310	832	11	10	1	0	0.4468272378
TGME49_211340	499	6	6	0	0	0.7904651112
TGME49_211350	2199	13	13	0	0	0.7680641856
TGME49_211390	681	4	4	0	0	0.6821612094
TGME49_211400	716	6	6	0	0	0.7192760363
TGME49_211410	894	4	4	0	0	0.7056267765
TGME49_211420	713	1	1	0	0	0.9126053792
TGME49_211440	708	4	2	2	0	0.6502354048
TGME49_211450	247	6	6	0	0	0.5029545752
TGME49_211460	774	14	12	2	0	0.465121273
TGME49_211480	515	7	5	0	2	0.5188446139
TGME49_211600	1697	18	17	1	0	0.5843458998
TGME49_211610	789	8	8	0	0	0.4398082113
TGME49_211630	240	2	0	2	0	0.7007118598
TGME49_211640	372	4	3	1	0	0.8552111051
TGME49_211650	977	21	20	1	0	0.9251668687
TGME49_211670	416	2	2	0	0	0.8135602496
TGME49_211680	135	0				0.7300823159
TGME49_211690	246	1	0	1	0	0.4719905557
TGME49_211700	437	1	1	0	0	0.9062715597
TGME49_211710	701	3	2	1	0	0.8199802903
TGME49_211720	2878	40	40	0	0	0.8272497839
TGME49_211730	1430	12	12	0	0	0.7803726122
TGME49_211850	252	1	0	1	0	0.7649742062
TGME49_211860	354	5	3	2	0	0.4827842359
TGME49_211870	603	7	6	1	0	0.5299661117
TGME49_211890	1302	21	20	0	1	0.7300037262
TGME49_212090	2105	18	18	0	0	0.6012934479
TGME49_212130	1439	16	13	3	0	0.3843846155
TGME49_212140	824	9	5	4	0	0.7415792364
TGME49_212150	653	6	6	0	0	0.616006052
TGME49_212160	997	15	14	1	0	0.3186762908
TGME49_212170	1496	13	12	1	0	0.8297570612
TGME49_212190	580	4	4	0	0	0.6015560735
TGME49_212200	667	12	12	0	0	0.8183105019
TGME49_212210	770	7	7	0	0	0.852949047
TGME49_212220	1649	16	14	2	0	0.37845573
TGME49_212250	600	1	1	0	0	0.8933966401
