Gene ID	Genomic Sequence ID	Genomic Location (Gene)	Gene Strand	Gene Type
TGME49_201730	TGME49_chrVIIa	TGME49_chrVIIa:3,827,942..3,828,985(+)	forward	protein coding gene
TGME49_201740	TGME49_chrVIIa	TGME49_chrVIIa:3,826,520..3,827,842(+)	forward	protein coding gene
TGME49_201750	TGME49_chrVIIa	TGME49_chrVIIa:3,822,835..3,823,206(+)	forward	protein coding gene
TGME49_201760	TGME49_chrVIIa	TGME49_chrVIIa:3,816,499..3,820,139(+)	forward	protein coding gene
TGME49_201770	TGME49_chrVIIa	TGME49_chrVIIa:3,801,158..3,814,961(+)	forward	protein coding gene
TGME49_201775	TGME49_chrVIIa	TGME49_chrVIIa:3,798,765..3,799,442(+)	forward	protein coding gene
TGME49_201780	TGME49_chrVIIa	TGME49_chrVIIa:3,793,319..3,797,546(-)	reverse	protein coding gene
TGME49_201785	TGME49_chrVIIa	TGME49_chrVIIa:3,791,098..3,793,962(-)	reverse	protein coding gene
TGME49_201790	TGME49_chrVIIa	TGME49_chrVIIa:3,783,502..3,790,336(-)	reverse	protein coding gene
TGME49_201800	TGME49_chrVIIa	TGME49_chrVIIa:3,779,291..3,782,174(+)	forward	protein coding gene
TGME49_201810	TGME49_chrVIIa	TGME49_chrVIIa:3,774,970..3,779,323(-)	reverse	protein coding gene
TGME49_201820	TGME49_chrVIIa	TGME49_chrVIIa:3,761,526..3,774,621(+)	forward	protein coding gene
TGME49_201830	TGME49_chrVIIa	TGME49_chrVIIa:3,756,911..3,759,434(+)	forward	protein coding gene
TGME49_201840	TGME49_chrVIIa	TGME49_chrVIIa:3,748,209..3,755,973(+)	forward	protein coding gene
TGME49_201850	TGME49_chrVIIa	TGME49_chrVIIa:3,744,015..3,746,950(-)	reverse	protein coding gene
TGME49_201860	TGME49_chrVIIa	TGME49_chrVIIa:3,741,630..3,743,111(-)	reverse	protein coding gene
TGME49_201870	TGME49_chrVIIa	TGME49_chrVIIa:3,732,281..3,741,142(+)	forward	protein coding gene
TGME49_201880	TGME49_chrVIIa	TGME49_chrVIIa:3,728,742..3,731,028(+)	forward	protein coding gene
TGME49_201900	TGME49_chrVIIa	TGME49_chrVIIa:3,713,270..3,720,614(-)	reverse	protein coding gene
TGME49_202010	TGME49_chrVIIa	TGME49_chrVIIa:3,707,975..3,713,207(+)	forward	protein coding gene
TGME49_202020	TGME49_chrVIIa	TGME49_chrVIIa:3,699,955..3,707,271(+)	forward	protein coding gene
TGME49_202040	TGME49_chrVIIa	TGME49_chrVIIa:3,668,911..3,677,526(+)	forward	protein coding gene
TGME49_202050	TGME49_chrVIIa	TGME49_chrVIIa:3,665,909..3,668,268(-)	reverse	protein coding gene
TGME49_202065	TGME49_chrVIIa	TGME49_chrVIIa:3,665,042..3,665,969(+)	forward	protein coding gene
TGME49_202070	TGME49_chrVIIa	TGME49_chrVIIa:3,630,067..3,663,934(-)	reverse	protein coding gene
TGME49_202080	TGME49_chrVIIa	TGME49_chrVIIa:3,619,147..3,629,235(+)	forward	protein coding gene
TGME49_202090	TGME49_chrVIIa	TGME49_chrVIIa:3,615,081..3,617,011(-)	reverse	protein coding gene
TGME49_202100	TGME49_chrVIIa	TGME49_chrVIIa:3,613,312..3,614,174(-)	reverse	protein coding gene
TGME49_202110	TGME49_chrVIIa	TGME49_chrVIIa:3,609,959..3,611,285(-)	reverse	protein coding gene
TGME49_202120	TGME49_chrVIIa	TGME49_chrVIIa:3,582,842..3,608,067(-)	reverse	protein coding gene
TGME49_202140	TGME49_chrVIIa	TGME49_chrVIIa:3,577,457..3,581,173(-)	reverse	protein coding gene
TGME49_202160	TGME49_chrVIIa	TGME49_chrVIIa:3,567,185..3,577,344(+)	forward	protein coding gene
TGME49_202170	TGME49_chrVIIa	TGME49_chrVIIa:3,559,210..3,567,001(-)	reverse	protein coding gene
TGME49_202180	TGME49_chrVIIa	TGME49_chrVIIa:3,547,864..3,559,077(+)	forward	protein coding gene
TGME49_202190	TGME49_chrVIIa	TGME49_chrVIIa:3,535,530..3,544,560(-)	reverse	protein coding gene
TGME49_202200	TGME49_chrVIIa	TGME49_chrVIIa:3,522,470..3,528,253(-)	reverse	protein coding gene
TGME49_202205	TGME49_chrVIIa	TGME49_chrVIIa:3,520,735..3,521,924(-)	reverse	protein coding gene
TGME49_202210	TGME49_chrVIIa	TGME49_chrVIIa:3,518,119..3,520,605(-)	reverse	protein coding gene
TGME49_202220	TGME49_chrVIIa	TGME49_chrVIIa:3,509,010..3,513,924(-)	reverse	protein coding gene
TGME49_202230	TGME49_chrVIIa	TGME49_chrVIIa:3,497,609..3,509,131(+)	forward	protein coding gene
TGME49_202240	TGME49_chrVIIa	TGME49_chrVIIa:3,488,048..3,497,456(-)	reverse	protein coding gene
TGME49_202250	TGME49_chrVIIa	TGME49_chrVIIa:3,479,343..3,488,003(+)	forward	protein coding gene
TGME49_202255	TGME49_chrVIIa	TGME49_chrVIIa:3,472,175..3,479,167(-)	reverse	protein coding gene
TGME49_202285	TGME49_chrVIIa	TGME49_chrVIIa:3,444,702..3,447,383(+)	forward	protein coding gene
TGME49_202290	TGME49_chrVIIa	TGME49_chrVIIa:3,438,649..3,441,736(-)	reverse	protein coding gene
TGME49_202300	TGME49_chrVIIa	TGME49_chrVIIa:3,434,052..3,438,877(+)	forward	protein coding gene
TGME49_202310	TGME49_chrVIIa	TGME49_chrVIIa:3,429,611..3,433,855(+)	forward	protein coding gene
TGME49_202320	TGME49_chrVIIa	TGME49_chrVIIa:3,429,058..3,429,130(-)	reverse	ncRNA gene
TGME49_202330	TGME49_chrVIIa	TGME49_chrVIIa:3,423,039..3,423,638(-)	reverse	protein coding gene
TGME49_202340	TGME49_chrVIIa	TGME49_chrVIIa:3,414,815..3,418,948(+)	forward	protein coding gene
TGME49_202350	TGME49_chrVIIa	TGME49_chrVIIa:3,404,338..3,412,877(+)	forward	protein coding gene
TGME49_202360	TGME49_chrVIIa	TGME49_chrVIIa:3,394,670..3,402,661(+)	forward	protein coding gene
TGME49_202370	TGME49_chrVIIa	TGME49_chrVIIa:3,384,611..3,392,973(+)	forward	protein coding gene
TGME49_202375	TGME49_chrVIIa	TGME49_chrVIIa:3,379,488..3,384,231(-)	reverse	protein coding gene
TGME49_202380	TGME49_chrVIIa	TGME49_chrVIIa:3,367,910..3,377,792(+)	forward	protein coding gene
TGME49_202390	TGME49_chrVIIa	TGME49_chrVIIa:3,362,716..3,366,217(-)	reverse	protein coding gene
TGME49_202400	TGME49_chrVIIa	TGME49_chrVIIa:3,353,588..3,361,903(+)	forward	protein coding gene
TGME49_202410	TGME49_chrVIIa	TGME49_chrVIIa:3,341,623..3,351,984(+)	forward	protein coding gene
TGME49_202420	TGME49_chrVIIa	TGME49_chrVIIa:3,337,007..3,340,169(+)	forward	protein coding gene
TGME49_202430	TGME49_chrVIIa	TGME49_chrVIIa:3,331,081..3,335,761(-)	reverse	protein coding gene
TGME49_202440	TGME49_chrVIIa	TGME49_chrVIIa:3,326,567..3,330,921(+)	forward	protein coding gene
TGME49_202445	TGME49_chrVIIa	TGME49_chrVIIa:3,324,883..3,326,345(-)	reverse	protein coding gene
TGME49_202450	TGME49_chrVIIa	TGME49_chrVIIa:3,321,594..3,323,591(-)	reverse	protein coding gene
TGME49_202460	TGME49_chrVIIa	TGME49_chrVIIa:3,309,347..3,319,826(-)	reverse	protein coding gene
TGME49_202470	TGME49_chrVIIa	TGME49_chrVIIa:3,302,245..3,309,312(+)	forward	protein coding gene
TGME49_202480	TGME49_chrVIIa	TGME49_chrVIIa:3,297,119..3,300,440(+)	forward	protein coding gene
TGME49_202490	TGME49_chrVIIa	TGME49_chrVIIa:3,277,755..3,294,084(-)	reverse	protein coding gene
TGME49_202500	TGME49_chrVIIa	TGME49_chrVIIa:3,273,584..3,276,480(-)	reverse	protein coding gene
TGME49_202510	TGME49_chrVIIa	TGME49_chrVIIa:3,267,364..3,270,746(-)	reverse	protein coding gene
TGME49_202520	TGME49_chrVIIa	TGME49_chrVIIa:3,261,590..3,268,207(+)	forward	protein coding gene
TGME49_202530	TGME49_chrVIIa	TGME49_chrVIIa:3,254,199..3,261,378(-)	reverse	protein coding gene
TGME49_202540	TGME49_chrVIIa	TGME49_chrVIIa:3,235,830..3,251,334(-)	reverse	protein coding gene
TGME49_202550	TGME49_chrVIIa	TGME49_chrVIIa:3,225,748..3,235,131(+)	forward	protein coding gene
TGME49_202568	TGME49_chrVIIa	TGME49_chrVIIa:3,218,663..3,220,548(-)	reverse	protein coding gene
TGME49_202572	TGME49_chrVIIa	TGME49_chrVIIa:3,207,247..3,216,124(-)	reverse	protein coding gene
TGME49_202580	TGME49_chrVIIa	TGME49_chrVIIa:3,190,542..3,205,617(+)	forward	protein coding gene
TGME49_202590	TGME49_chrVIIa	TGME49_chrVIIa:3,183,461..3,188,349(+)	forward	protein coding gene
TGME49_202600	TGME49_chrVIIa	TGME49_chrVIIa:3,182,071..3,183,956(-)	reverse	protein coding gene
TGME49_202610	TGME49_chrVIIa	TGME49_chrVIIa:3,170,626..3,181,696(+)	forward	protein coding gene
TGME49_202620	TGME49_chrVIIa	TGME49_chrVIIa:3,164,569..3,166,692(-)	reverse	protein coding gene
TGME49_202630	TGME49_chrVIIa	TGME49_chrVIIa:3,149,594..3,162,966(-)	reverse	protein coding gene
TGME49_202640	TGME49_chrVIIa	TGME49_chrVIIa:3,137,161..3,149,457(+)	forward	protein coding gene
TGME49_202650	TGME49_chrVIIa	TGME49_chrVIIa:3,120,640..3,134,651(+)	forward	protein coding gene
TGME49_202660	TGME49_chrVIIa	TGME49_chrVIIa:3,118,298..3,118,368(-)	reverse	ncRNA gene
TGME49_202670	TGME49_chrVIIa	TGME49_chrVIIa:3,117,192..3,117,262(+)	forward	ncRNA gene
TGME49_202680	TGME49_chrVIIa	TGME49_chrVIIa:3,107,113..3,114,492(-)	reverse	protein coding gene
TGME49_202690	TGME49_chrVIIa	TGME49_chrVIIa:3,101,838..3,106,149(+)	forward	protein coding gene
TGME49_202700	TGME49_chrVIIa	TGME49_chrVIIa:3,095,578..3,101,686(-)	reverse	protein coding gene
TGME49_202720	TGME49_chrVIIa	TGME49_chrVIIa:3,080,735..3,093,299(-)	reverse	protein coding gene
TGME49_202730	TGME49_chrVIIa	TGME49_chrVIIa:3,073,966..3,079,826(+)	forward	protein coding gene
TGME49_202735	TGME49_chrVIIa	TGME49_chrVIIa:3,072,373..3,074,468(-)	reverse	protein coding gene
TGME49_202740	TGME49_chrVIIa	TGME49_chrVIIa:3,063,725..3,069,760(-)	reverse	protein coding gene
TGME49_202750	TGME49_chrVIIa	TGME49_chrVIIa:3,055,742..3,064,686(+)	forward	protein coding gene
TGME49_202760	TGME49_chrVIIa	TGME49_chrVIIa:3,050,604..3,055,593(-)	reverse	protein coding gene
TGME49_202770	TGME49_chrVIIa	TGME49_chrVIIa:3,041,094..3,049,894(+)	forward	protein coding gene
TGME49_202780	TGME49_chrVIIa	TGME49_chrVIIa:3,033,153..3,037,960(-)	reverse	protein coding gene
TGME49_202790	TGME49_chrVIIa	TGME49_chrVIIa:3,024,978..3,032,188(-)	reverse	protein coding gene
TGME49_202800	TGME49_chrVIIa	TGME49_chrVIIa:3,017,549..3,023,257(-)	reverse	protein coding gene
TGME49_202810	TGME49_chrVIIa	TGME49_chrVIIa:3,014,641..3,017,329(+)	forward	protein coding gene
TGME49_202820	TGME49_chrVIIa	TGME49_chrVIIa:3,008,556..3,013,741(+)	forward	protein coding gene
TGME49_202830	TGME49_chrVIIa	TGME49_chrVIIa:3,005,393..3,008,371(-)	reverse	protein coding gene
TGME49_202840	TGME49_chrVIIa	TGME49_chrVIIa:2,990,191..3,000,539(-)	reverse	protein coding gene
TGME49_202850	TGME49_chrVIIa	TGME49_chrVIIa:2,980,954..2,990,264(+)	forward	protein coding gene
TGME49_202860	TGME49_chrVIIa	TGME49_chrVIIa:2,977,558..2,979,383(+)	forward	protein coding gene
TGME49_202870	TGME49_chrVIIa	TGME49_chrVIIa:2,971,304..2,975,842(+)	forward	protein coding gene
TGME49_202880	TGME49_chrVIIa	TGME49_chrVIIa:2,962,372..2,969,595(+)	forward	protein coding gene
TGME49_202890	TGME49_chrVIIa	TGME49_chrVIIa:2,958,661..2,961,764(-)	reverse	protein coding gene
TGME49_202895	TGME49_chrVIIa	TGME49_chrVIIa:2,957,508..2,957,580(+)	forward	ncRNA gene
TGME49_202900	TGME49_chrVIIa	TGME49_chrVIIa:2,950,445..2,957,698(+)	forward	protein coding gene
TGME49_202910	TGME49_chrVIIa	TGME49_chrVIIa:2,947,788..2,949,431(+)	forward	protein coding gene
TGME49_202920	TGME49_chrVIIa	TGME49_chrVIIa:2,943,237..2,947,582(-)	reverse	protein coding gene
TGME49_202930	TGME49_chrVIIa	TGME49_chrVIIa:2,941,532..2,943,288(+)	forward	protein coding gene
TGME49_202940	TGME49_chrVIIa	TGME49_chrVIIa:2,936,249..2,939,562(-)	reverse	protein coding gene
TGME49_202950	TGME49_chrVIIa	TGME49_chrVIIa:2,921,929..2,935,870(+)	forward	protein coding gene
TGME49_202960	TGME49_chrVIIa	TGME49_chrVIIa:2,919,748..2,921,441(-)	reverse	protein coding gene
TGME49_202970	TGME49_chrVIIa	TGME49_chrVIIa:2,908,289..2,918,361(+)	forward	protein coding gene
TGME49_202975	TGME49_chrVIIa	TGME49_chrVIIa:2,902,761..2,906,568(-)	reverse	protein coding gene
TGME49_202980	TGME49_chrVIIa	TGME49_chrVIIa:2,887,655..2,901,765(-)	reverse	protein coding gene
TGME49_203010	TGME49_chrVIIa	TGME49_chrVIIa:2,864,556..2,874,761(-)	reverse	protein coding gene
TGME49_203020	TGME49_chrVIIa	TGME49_chrVIIa:2,856,371..2,864,524(+)	forward	protein coding gene
TGME49_203030	TGME49_chrVIIa	TGME49_chrVIIa:2,842,986..2,848,086(-)	reverse	protein coding gene
TGME49_203040	TGME49_chrVIIa	TGME49_chrVIIa:2,836,612..2,842,804(+)	forward	protein coding gene
TGME49_203050	TGME49_chrVIIa	TGME49_chrVIIa:2,824,004..2,836,222(+)	forward	protein coding gene
TGME49_203060	TGME49_chrVIIa	TGME49_chrVIIa:2,821,106..2,825,258(-)	reverse	protein coding gene
TGME49_203070	TGME49_chrVIIa	TGME49_chrVIIa:2,819,953..2,821,147(+)	forward	protein coding gene
TGME49_203080	TGME49_chrVIIa	TGME49_chrVIIa:2,814,601..2,817,627(+)	forward	protein coding gene
TGME49_203090	TGME49_chrVIIa	TGME49_chrVIIa:2,811,333..2,814,442(+)	forward	protein coding gene
TGME49_203100	TGME49_chrVIIa	TGME49_chrVIIa:2,809,980..2,810,527(+)	forward	protein coding gene
TGME49_203110	TGME49_chrVIIa	TGME49_chrVIIa:2,805,020..2,808,651(-)	reverse	protein coding gene
TGME49_203120	TGME49_chrVIIa	TGME49_chrVIIa:2,802,214..2,805,059(+)	forward	protein coding gene
TGME49_203135	TGME49_chrVIIa	TGME49_chrVIIa:2,745,630..2,800,231(-)	reverse	protein coding gene
TGME49_203150	TGME49_chrVIIa	TGME49_chrVIIa:2,736,694..2,744,962(+)	forward	protein coding gene
TGME49_203160	TGME49_chrVIIa	TGME49_chrVIIa:2,721,239..2,733,557(-)	reverse	protein coding gene
TGME49_203170	TGME49_chrVIIa	TGME49_chrVIIa:2,711,168..2,721,810(+)	forward	protein coding gene
TGME49_203180	TGME49_chrVIIa	TGME49_chrVIIa:2,689,794..2,710,263(-)	reverse	protein coding gene
TGME49_203200	TGME49_chrVIIa	TGME49_chrVIIa:2,674,210..2,688,386(+)	forward	protein coding gene
TGME49_203220	TGME49_chrVIIa	TGME49_chrVIIa:2,661,858..2,673,079(+)	forward	protein coding gene
TGME49_203230	TGME49_chrVIIa	TGME49_chrVIIa:2,658,892..2,660,878(+)	forward	protein coding gene
TGME49_203240	TGME49_chrVIIa	TGME49_chrVIIa:2,647,720..2,658,076(-)	reverse	protein coding gene
TGME49_203250	TGME49_chrVIIa	TGME49_chrVIIa:2,643,428..2,646,708(+)	forward	protein coding gene
TGME49_203260	TGME49_chrVIIa	TGME49_chrVIIa:2,631,707..2,640,504(-)	reverse	protein coding gene
TGME49_203270	TGME49_chrVIIa	TGME49_chrVIIa:2,625,125..2,631,309(+)	forward	protein coding gene
TGME49_203280	TGME49_chrVIIa	TGME49_chrVIIa:2,620,288..2,624,987(-)	reverse	protein coding gene
TGME49_203290	TGME49_chrVIIa	TGME49_chrVIIa:2,618,197..2,619,438(-)	reverse	protein coding gene
TGME49_203300	TGME49_chrVIIa	TGME49_chrVIIa:2,607,323..2,617,842(+)	forward	protein coding gene
TGME49_203310	TGME49_chrVIIa	TGME49_chrVIIa:2,604,221..2,605,966(+)	forward	protein coding gene
TGME49_203320	TGME49_chrVIIa	TGME49_chrVIIa:2,573,668..2,600,955(-)	reverse	protein coding gene
TGME49_203330	TGME49_chrVIIa	TGME49_chrVIIa:2,569,428..2,572,353(-)	reverse	protein coding gene
TGME49_203340	TGME49_chrVIIa	TGME49_chrVIIa:2,565,249..2,569,550(+)	forward	protein coding gene
TGME49_203350	TGME49_chrVIIa	TGME49_chrVIIa:2,556,317..2,563,578(-)	reverse	protein coding gene
TGME49_203358	TGME49_chrVIIa	TGME49_chrVIIa:2,548,693..2,555,629(+)	forward	protein coding gene
TGME49_203362	TGME49_chrVIIa	TGME49_chrVIIa:2,543,065..2,546,973(+)	forward	protein coding gene
TGME49_203370	TGME49_chrVIIa	TGME49_chrVIIa:2,539,256..2,542,964(-)	reverse	protein coding gene
TGME49_203375	TGME49_chrVIIa	TGME49_chrVIIa:2,536,254..2,538,398(-)	reverse	protein coding gene
TGME49_203380	TGME49_chrVIIa	TGME49_chrVIIa:2,527,209..2,536,298(+)	forward	protein coding gene
TGME49_203390	TGME49_chrVIIa	TGME49_chrVIIa:2,521,262..2,524,789(-)	reverse	protein coding gene
TGME49_203400	TGME49_chrVIIa	TGME49_chrVIIa:2,515,373..2,519,582(+)	forward	protein coding gene
TGME49_203420	TGME49_chrVIIa	TGME49_chrVIIa:2,507,663..2,515,172(-)	reverse	protein coding gene
TGME49_203440	TGME49_chrVIIa	TGME49_chrVIIa:2,500,850..2,507,874(+)	forward	protein coding gene
TGME49_203450	TGME49_chrVIIa	TGME49_chrVIIa:2,493,933..2,500,434(-)	reverse	protein coding gene
TGME49_203450	TGME49_chrVIIa	TGME49_chrVIIa:2,493,933..2,500,434(-)	reverse	protein coding gene
TGME49_203460	TGME49_chrVIIa	TGME49_chrVIIa:2,492,772..2,493,651(+)	forward	protein coding gene
TGME49_203470	TGME49_chrVIIa	TGME49_chrVIIa:2,491,017..2,491,592(+)	forward	protein coding gene
TGME49_203480	TGME49_chrVIIa	TGME49_chrVIIa:2,480,747..2,491,588(-)	reverse	protein coding gene
TGME49_203490	TGME49_chrVIIa	TGME49_chrVIIa:2,472,905..2,480,269(+)	forward	protein coding gene
TGME49_203500	TGME49_chrVIIa	TGME49_chrVIIa:2,468,959..2,471,087(+)	forward	protein coding gene
TGME49_203505	TGME49_chrVIIa	TGME49_chrVIIa:2,464,296..2,468,121(+)	forward	protein coding gene
TGME49_203510	TGME49_chrVIIa	TGME49_chrVIIa:2,456,036..2,462,544(+)	forward	protein coding gene
TGME49_203520	TGME49_chrVIIa	TGME49_chrVIIa:2,445,415..2,452,929(-)	reverse	protein coding gene
TGME49_203540	TGME49_chrVIIa	TGME49_chrVIIa:2,430,274..2,443,444(-)	reverse	protein coding gene
TGME49_203590	TGME49_chrVIIa	TGME49_chrVIIa:2,411,736..2,413,097(-)	reverse	protein coding gene
TGME49_203600	TGME49_chrVIIa	TGME49_chrVIIa:2,406,111..2,409,382(-)	reverse	protein coding gene
TGME49_203610	TGME49_chrVIIa	TGME49_chrVIIa:2,400,642..2,405,422(+)	forward	protein coding gene
TGME49_203620	TGME49_chrVIIa	TGME49_chrVIIa:2,394,180..2,399,777(+)	forward	protein coding gene
TGME49_203630	TGME49_chrVIIa	TGME49_chrVIIa:2,392,427..2,393,896(-)	reverse	protein coding gene
TGME49_203665	TGME49_chrVIIa	TGME49_chrVIIa:2,356,101..2,389,432(-)	reverse	protein coding gene
TGME49_203682	TGME49_chrVIIa	TGME49_chrVIIa:2,351,593..2,354,662(-)	reverse	protein coding gene
TGME49_203685	TGME49_chrVIIa	TGME49_chrVIIa:2,344,033..2,347,735(-)	reverse	protein coding gene
TGME49_203688	TGME49_chrVIIa	TGME49_chrVIIa:2,339,354..2,340,674(-)	reverse	protein coding gene
TGME49_203690	TGME49_chrVIIa	TGME49_chrVIIa:2,320,097..2,331,462(-)	reverse	protein coding gene
TGME49_203700	TGME49_chrVIIa	TGME49_chrVIIa:2,315,663..2,318,335(-)	reverse	protein coding gene
